id,bid,text,time,author,repost_count,comment_count,attitudes_count
4868752945978047,MsQzQp5a7,"During the closure of the epidemic , community in and to issue exit for dialysis . They had a bad attitude and the public . Also known as : You love death or death .     ' s video",2023-02-13 18:37:02,朱朱文强,102,4,81
4863553570605561,MqFjL2xx7,"After the epidemic prevention policy was , the epidemic in China quickly peaked , causing everyone to be in a bit of a trance now . It like the outbreak of the epidemic two ago was like a dream . Also , the second and third that everyone feared did not occur . This that there is an absolute scientific basis for the country ' s adjustment of epidemic prevention . Just like the decisive closure of and at the beginning , they are all based on science . In less than two , everything was back to normal . The people who were at the beginning were all ... full text",2023-01-30 10:16:34,旗扬时事,6,98,401
4871043967091150,MtOb2tKJo,"Last year ' s summer vacation was by the closure of the city due to the epidemic and then winter vacation . In total , I haven ' t been to work seriously for more than half a year . When I finally start work tomorrow , what to me , I can ' t sleep ? Is that something to be excited about too ?",2023-02-20 02:20:44,炎铃_想冬眠,0,2,37
4885810547787542,MA0k6wFTw,"Maybe I can ' t share the plight of 22 with the pandemic , the closure of the city , the , the closed loop , a few of , my life alone . I received news about the breakup and the person you ' re dealing with . I ' t understand your approach . Later , , I saw clearly . I told myself over and over again that alcohol was a friend or family member , it was a family incident , and it was all of a sudden that was me . Just like now , when it ' s a huge transformation , I ' m sometimes unclear and skeptical ; I still don ' t understand and ... full text",2023-04-01 20:17:51,用户6855332758,0,0,0
4885810165319827,MA0jumjVF,"[ Self - ] A Lonely Person ' s Profile : ( by ), who broke up with her during the closure of the city due to the pandemic , accidentally met ( by Arjun Das ) ( by Arjun Das ), who lost her friend and was in pain , in two different video . Through many , the two received strength to support each other . Ah ' s video song and dance",2023-04-01 20:16:20,翻译印度歌舞视频的阿水,2,0,2
4885780907164315,MzZyiu3Lt,The sequelae of the closure of due to the epidemic - I don ' t know what clothes to wear other than when going out,2023-04-01 18:20:04,涛涛涛_1758Shero_DaDisco,0,0,0
4885761130497198,MzZ2p25lk,"A short note on drinking tea today . “ Out of Chaos ” I went to a friend ' s tea room to drink tea in the afternoon , and by the way , brought my camera 📷 and took some of her . We met during the closure of the city due to the epidemic last year . Everyone was very anxious and very painful . It ' s been a long time since we ' seen it , but now we ' re all learning to reinvent ourselves , relieve our , and have become more relaxed . There are people who always work hard to do a good job , but they also need to take care of their hearts . There was a time when she felt like she was being ... full story",2023-04-01 17:01:29,闽南小吃货,0,1,5
4885750221373788,MzYKO5LnS,The ' were all bought out of boredom during the closure of due to the pandemic 🐱,2023-04-01 16:18:07,付尔摩斯-,0,2,1
4885676770723480,MzWQl32d2,"Although the family structure is similar , the attitude is completely different . The people in my family who have closed down the city due to the pandemic have not even said a word of greeting .",2023-04-01 11:26:16,馋秋刀鱼的猫,0,0,0
4885671565853369,MzWHWoyJb,"Let me just say here again . I haven ' t seen any credit for COVID - 19 ; apart from daring to say that it spread from person to person , causing panic , more than 5 million people ran out before the closure of the city , which led to the spread of the epidemic . Although treatment was involved in COVID - 19 , Western medicine and Western medicine had no specific medicine , it was just their and fooling the public ! It actually ' t work at all ; some treatment are harmful ! “ Academician ' s latest speech at a medicine seminar !” Links to web",2023-04-01 11:05:34,--陈老大,0,0,0
