id,bid,text,time,author,repost_count,comment_count,attitudes_count
4885796455189820,MzZXnlM6M,"Don ' t promote the West ' s up to visit China , normal diplomatic , please don ' t make a frown . As the world ' s second economy and trading country in goods , it ' t carried out diplomacy in the past three due to the pandemic . Now that normal diplomatic are being carried out , normal diplomatic have been by some self - media as being by the West as up to visit China . There is really no need for this . You need to know that our diplomatic with major trading are still lukewarm , and the external environment to deteriorate , so it should ... full text",2023-04-01 19:21:51,史凝眸,2,16,46
4885798095159618,MA001lEfE,The first concert that of people watched after the pandemic .  ,2023-04-01 19:28:21,邹小樱,4,56,1027
4885798342624880,MA00qb0QM,"  ： There is ' s concert at the Sports Center today . The opening at 8 o ' clock is the first large - scale concert in after the pandemic , and it is also the first large - scale concert that since the opening of Line 4 . Relevant passenger flow footage . Today , the operation of the entire network was extended by 1 hour . Among them , after 22 : 00 , the train interval of Line 4 was 5 apart .",2023-04-01 19:29:21,地铁客流及运输研究阿牛,6,44,228
4885828327708782,MA0MMwlpc,I was particularly happy on a spring weekend trip after the pandemic this year,2023-04-01 21:28:30,恬筠-,0,0,0
4885828256663289,MA0MFrXqp,"I said why only 10 of medicine were given during the epidemic , and it turned out to be so effective in relieving pain !",2023-04-01 21:28:13,Z闪闪呦,0,0,0
4885828231233589,MA0MD5aUB,"I really like the beautiful scenery of my home in Hong . Unfortunately , I haven ' t been able to stay here for over 3 since the pandemic took place . Spending more than 1 million on rent is a waste of life .",2023-04-01 21:28:06,我最爱001,0,0,0
4885827862401087,MA0M2a4Dd,"The weather is nice today . After the epidemic , I was finally able to go to Park to enjoy the spring . I haven ' t been out to play in a long time ...",2023-04-01 21:26:39,樱花涛子,0,0,0
4885827835925255,MA0LZoRqD,"Before the first concert after the pandemic , I saw the news that an outdoor concert was going to be recently , none of the busy people who were busy with work were really afraid that they ' t be able to walk away yesterday , and I inadvertently saw the feeling that should be a half - day shift . Who the scolding from in the morning frantically the report to sort out the information originally to go see him for almost all of this afternoon ... full story",2023-04-01 21:26:33,最平凡日子_最卑微梦想,0,0,0
4885827794769944,MA0LVk0SA,"Since the end of the epidemic , I went shopping for the first time today . There are many around holding and hearts with their Han or . I won ' t mention it when I went to college . Guan",2023-04-01 21:26:23,Vices_0991,0,0,0
4885827476522268,MA0LprmJS,"[ 3 • 20 ] Dragging until today it like it ' s been a long time and it like it just on this special day , I to share with you that I ' an important event in my life , year after year , my marriage period can only be over and over again when I suddenly let go of the wedding ceremony in and suddenly let go to the agenda like this , I know a month in advance that I also knew I to enjoy drinking everything was so abrupt ... full text",2023-04-01 21:25:07,喂井井,0,0,1
4885827375073988,MA0LflhYw,"There have been many , , , school , internal consumption",2023-04-01 21:24:43,用户7623855187,0,0,0
