Datetime,Tweet Id,Text,Username,Coordinates,Place
2022-05-31 23:38:42+00:00,1531782249464537088,"上海宣布全面重启 封城两月市民感慨“百感交集”

中国最大城市上海因新冠疫情被封锁逾两个月后宣布“重启”，居民区的围封挡板开始被拆除，公共交通也将恢复。官方呼吁企业复工复产，以重振经济。

对于很多两个月来首次出门的居民来说，出门第一件事是——剪头发。

https://t.co/3azsGd9JVi",wufanus,,
2022-05-31 23:10:59+00:00,1531775274085490690,5月29日上海市召开疫情防控新闻发布会，有关领导正式否定了“封城”的说法，表示“上海从未宣布过‘封城’，因此也不存在‘解封’，不能使用‘解封’的提法。上海全域静态管理是按下暂停键，但期间城市核心功能始终保持运行。”🤡😞,Jessie2021626,,
2022-05-31 22:39:12+00:00,1531767276453568512,@peterliu2121 @8DTzwKSsKMmEwNV @firelemond @RealCommie @1CMRWsP2B6LrqYI @slipknothooh @Enlightener777 上海应该不是自愿隔离，而是疫情挡不住了，官员不作为，中央下命令强制封城隔离，上海的官员就应该来一波大换血，在那个位置总要做事，不做事呆那里嘎哈呢,gWRcc6GUUKW7IyC,,
2022-05-31 21:43:20+00:00,1531753217633071104,"上海疫情真的结束了吗？ 

#盘古时讯   #封城  #中共国式防疫 https://t.co/9zcAGbUX0o",EZ2p8,,
2022-05-31 21:38:33+00:00,1531752016183103488,上海市府“上海官方从来没有宣布过上海封城，所以也不存在解封一说，上海居民被封在家里全是居委会、村委会自发的行为。”那么接下来就好玩了，到底是报复性消费还是报复居委会和村委会呢？善恶到头终有报，昨日你们做的恶很快就会被加倍清算喽！#疫情[超话]##动态清零是我国抗疫总方针#,eCpP7JhCZJa8cT3,,
2022-05-31 21:36:26+00:00,1531751483582124032,@wakeupfrog01 封城結束（不得不），但疫情只是剛剛開始。中国今天抗疫所有的灾难和乱象，归根结底就是没有有效的疫苗。躺平（开放）还是不躺平（清零）不能改变最终结果，只能扭曲通往结果的过程。今天一切持續的灾难在於維護一尊的面子而拒絕進口有效的疫苗。,travelernjusa,,
2022-05-31 21:12:31+00:00,1531745462109224963,@fromshanghaic 封城結束（不得不），但疫情只是剛剛開始。中国今天抗疫所有的灾难和乱象，归根结底就是没有有效的疫苗。躺平（开放）还是不躺平（清零）不能改变最终结果，只能扭曲通往结果的过程。今天一切持續的灾难在於維護一尊的面子而拒絕進口有效的疫苗。,travelernjusa,,
2022-05-31 21:02:36+00:00,1531742966217609216,"@lingxia273d @MeMeTaiWan 對他們來說應該是贏兩次
封城管控疫情贏一次
人民自動封城 戰勝疫情再贏一次",qq_omg,,
2022-05-31 19:49:03+00:00,1531724456271286273,"向X-防疫說No！

疫情影響外國民眾
防疫禍害中國人民
躺平不靠譜
禁平不靠譜
鹽瓶才靠譜
鹽巴加口水

封城是胡整
檢測是瞎捅
清零是扯蛋
方艙是折騰
兩法是正途
兩法有講究
不是暴封城
不是靠醫生
不是用鹽水
施藥後遺症
適度隔離法
早鹽介入法
口水化鹽巴
漱防咽治毒 https://t.co/xgXWPUOJa2",Jimmyzh08011801,,
2022-05-31 19:38:01+00:00,1531721680900567041,"有人說 #疫情 期間，中國的經濟不好，那你是沒有看到中共揮霍了多少錢來做 #核酸檢測、打疫苗和封城，幾萬億人民幣，這些都算作GDP數字，看數字絕對是經濟發展，但是債務是百姓來背的。

https://t.co/HrtgUxtmVY",StarLuxeUS,,
