conversation_id,created_at,author_id,text,Id,edit_history_tweet_ids,author_name,original_text
1.641557478247748e+18,2023-03-31T11:25:03 .000Z,1.328537643660046e+18,"@Jam79922967 Ma Ying-jeou's remarks indicate that he approved a series of measures implemented by the CCP during the epidemic. It can be seen that if he takes office, the CCP's city closure, vaccine, and nucleic acid testing policies will also be implemented. _x000D_
 The people of Taiwan need to keep their eyes open!",1.6417635313256e+18,['1641763531325599744'],MineUniverse08,"@Jam79922967 Ma Ying-jeou's remarks indicate that he approved a series of measures implemented by the CCP during the epidemic. It can be seen that if he takes office, the CCP's city closure, vaccine, and nucleic acid testing policies will also be implemented. _x000D_
 The people of Taiwan need to keep their eyes open!"
1.641762165203042e+18,2023-03-31T11:19:37 .000Z,7.616675447175045e+17,"RT @initiumnews: “Xu Qiu still thinks it's the best city for living in China. But she also realized that no matter how good Shanghai is, it's just “Titanic's first class.” _x000D_
 _x000D_
 When the sound of April sounded again, Shanghai was no longer the same as when it closed down last year. Now the entire city is reviving, and the traces of the epidemic have been erased clean and clean. https://t.co/qgu7...",1.641762165203042e+18,['1641762165203042304'],SijiEdu,"“Xu Qiu still feels that it is the best and most suitable city for living in China. But she also realized that no matter how good Shanghai is, it's just “Titanic's first class.” _x000D_
 _x000D_
 When the sound of April sounded again, Shanghai was no longer the same as when it closed down last year. Now the entire city is reviving, and the traces of the epidemic have been erased clean and clean. https://t.co/qgu7..."
1.641260095563497e+18,2023-03-31T10:59:02 .000Z,1.5370725345159e+18,"@lidangzzz Other than the fact that the three-year epidemic had a big impact on large developed cities such as Shanghai and Beijing, it had basically had no impact on small to medium cities. Anyway, in the past three years, apart from having just caught a COVID-19, everything else was no different from normal. I haven't seen any food grabbers, and the impact of the closure of the city wasn't significant. It's no different from normal; I can only tell the truth from the facts",1.641756986281959e+18,['1641756986281959424'],gfhhgbjjuh,"@lidangzzz Other than the fact that the three-year epidemic had a big impact on large developed cities such as Shanghai and Beijing, it had basically had no impact on small to medium cities. Anyway, in the past three years, apart from having just caught a COVID-19, everything else was no different from normal. I haven't seen any food grabbers, and the impact of the closure of the city wasn't significant. It's no different from normal; I can only tell the truth from the facts"
1.641482997764375e+18,2023-03-31T07:34:50 .000Z,1648010748.0,"@RFA_Chinese We need to look at this matter in different stages. In the early days, local governments deliberately concealed the epidemic. Of course this was about who should carry the cooking and who carried the blame, nothing to say. After that, Wuhan was decisively closed down. Of course, this was a great contribution to humanity. If they were free like the US and continued to spread, would that be good? As for some of the humanitarian disasters during the closure of Wuhan, the operational level was not done well; decisions cannot be blamed.",1.641705598755672e+18,['1641705598755672064'],Paololee4,"@RFA_Chinese We need to look at this matter in different stages. In the early days, local governments deliberately concealed the epidemic. Of course this was about who should carry the cooking and who carried the blame, nothing to say. After that, Wuhan was decisively closed down. Of course, this was a great contribution to humanity. If they were free like the US and continued to spread, would that be good? As for some of the humanitarian disasters during the closure of Wuhan, the operational level was not done well; decisions cannot be blamed."
1.641695651204571e+18,2023-03-31T06:55:19 .000Z,356739178.0,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.641695651204571e+18,['1641695651204571137'],AARoCN,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS"
1.641276194778694e+18,2023-03-31T06:51:14.000Z,2876961888.0,"@LEE64759634 @dw_chinese I respect your choice. Both have advantages and disadvantages. As long as you feel that it is beneficial to you and have enough “freedom” in life, you can make choices. I will talk about the “national criminal” incident, and I think they should be placed on the “Chinese government”. The Chinese people are fed up with the impact of the epidemic and their lives, which has led to the closure of many people's cities, which has affected people's lives and economies. They don't want to speak up for China, but rather talk about it.",1.641694623205855e+18,['1641694623205855232'],CJCADMIKE,"@LEE64759634 @dw_chinese I respect your choice. Both have advantages and disadvantages. As long as you feel that it is beneficial to you and have enough “freedom” in life, you can make choices. I will talk about the “national criminal” incident, and I think they should be placed on the “Chinese government”. The Chinese people are fed up with the impact of the epidemic and their lives, which has led to the closure of many people's cities, which has affected people's lives and economies. They don't want to speak up for China, but rather talk about it."
1.641681255820411e+18,2023-03-31T05:58:07 .000Z,1.220798822760296e+18,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.641681255820411e+18,['1641681255820410883'],Evveevveevveve,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS"
1.641680107201868e+18,2023-03-31T05:53:33 .000Z,1.465387982723203e+18,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.641680107201868e+18,['1641680107201867779'],Pengpeiao1,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS"
1.641671880246727e+18,2023-03-31T05:20:51 .000Z,1.307890795144311e+18,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.641671880246727e+18,['1641671880246726656'],3VW7F3MKTUVN0Hz,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS"
1.641657764941558e+18,2023-03-31T04:24:46 .000Z,1.637496038381736e+18,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.641657764941558e+18,['1641657764941557760'],Maretta2008,"[How did the closure of Shanghai happen after 25 million people lived in two months?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past..."
