Datetime,Tweet Id,text,usernames,Coordinates,Place
2020-04-07 23:54:08 + 00:00,1247674047195795456,"@cjEMlzUsovvrKzK @RFI_Cn But the US, the Democratic and Liberal Countries won't close the city like that because it violates human rights and is inhumane! It's against the law! Of course, I admit that autocratic countries' treatment of the epidemic is relatively more effective than democracies in controlling the spread! North Korea still doesn't have any 😂",eqfooyko4fef4ja,,
2020/4-07 23:42:43 + 00:00,1247671176979263489,"Replurks Silent Submarine: https://t.co/Iev7UVhQaU The
 National People's Party's undivided legislator Wu Sihuai has made another move! Today (7th), he said in the legislature that the epidemic is likely to break out in 7 to 10 days and that he wants the government to do a good job of “closing down the city... https://t.co/5odyzmcxaR",NightSun4,,
2020/4-07 23:35:44 + 00:00,1247669418253070338,"Wang Shangyi, 2020,
 April 7, 10:23
 April 6, Guangzhou's black population area exploded. Heilongjiang received a large number of Chinese returned from Russia. In addition to recent reports of asymptomatic infections in various places, the publicity direction has clearly escalated the previously downplayed Chinese epidemic. In addition to the areas originally scheduled to be unblocked when they expire and are not unblocked, more blocked areas will continue to be added. This is actually the second closure of the city.",C6inkw5bn2caHC2,,
2020/4-07 23:21:16 + 00:00,1247665776330338305,"[Coronavirus 19] More than 50,000 people are expected to leave by train after the closure of Wuhan 76 days after the closure of the city https://t.co/gcyAGf0pjb

 [Latest developments in the COVID-19 epidemic >>]

 #8视界新闻 #8worldnews #NovelCoronavirus #2019nCoV #coronavirus https://t.co/5Y6cFnNA1s #COVID19 https://t.co/O2l5p93Zqm",8world news,,
2020/4-07 23:16:57 + 00:00,1247664689494011904,"Food crisis
 According to the World Food and Agriculture Organization, in addition to being affected by the novel coronavirus, and many regions being invaded by insects such as locusts 🦗, India banned the export of rice from major rice exporters. This caused Thai rice to soar. Also, because of the closure of countries and cities caused by the closure of the country caused by the epidemic, the global food crisis was unavoidable? Please pay attention to the food crisis and plan how we ordinary people should respond in the future. https://t.co/T53txypTP2",petergu64250411,,
2020-04-07 22:57:39 + 00:00,1247659835107225603,"Summary of the reasons why the US is leading the world in the COVID-19 outbreak:
 https://t.co/1i3Bie836a隐瞒疫情，假装封城. It has not attracted the attention of the United States. 
https://t.co/fYVqQsMVlB不让美国专家帮助抗疫，导致美国爆发. 
https://t.co/beX50OOjsI建了好多口罩呼吸机生产线，又不优先供应美国. 
https://t.co/tvLkB23ZWb把不合格的口罩供应美国. 
(1/2)",qp3yazkkfbwk,,
2020-04-07 22:30:20 + 00:00,1247652961238515713,"At least 70 Falun Gong practitioners were wrongfully judged

 under the January-March epidemic. After the #中共病毒 epidemic broke out, cities, districts, and villages were closed down all over the mainland. When people were worried about their own safety and security, #中共 “610” (an illegal agency that specializes in persecuting Falun Gong) directed various agencies under its administration and the Department of Public Prosecution and Law to continue to persecute #法轮功。 From January to March, at least 70 Falun Gong practitioners were unlawfully sentenced. 

https://t.co/xmlBSlDBvh",china_epoch,,
2020-04-07 22:24:28 + 00:00,1247651482872066048,"The lifting of the blockade is a good thing. At least it shows that they are no longer afraid of the epidemic, but it is still too early to overcome it. I hope that even if a second wave of the epidemic occurs, extreme measures such as the closure of the city will no longer be taken; it should be confronted more peacefully.",MTQ180808,,
2020-04-07 22:13:53 + 00:00,1247648820017500160,"@OgbeniDipo why was the city closed down, why were square cabin hospitals built, why are they quarantined at home, because the Chinese have realized the seriousness of the problem, and ordinary people around the world are aware of the severity of the epidemic, but what your media and government are doing is nothing more than continuing to discredit China, make everyone think it's China's fault, and weaken the harm of 2019-nCoV, but is your own government really not at fault?",EPDMBBEA5BW8SDY,,
2020-04-07 22:04:26 + 00:00,1247646441713131523,"@Matho887 @wohuijide The first patient appeared on November 17
 December 30 Li Wenliang whistled the whistle December
 31, the Chinese side notified the WHO
 January 3, the Chinese side notified the US
 January 3, Li Wenliang was reprimanded for
 many medical infections in early
 January January 14, the WHO inspected the Wuhan epidemic
 January 18, the Wuhan Family Feast,
 January 22, the WHO discussed the Wuhan epidemic
 January 23 Wuhan The closure of the city
 was announced on January 24, the nationwide ban began
 January 30, WHO called on countries to avoid imposing travel restrictions",gx0dt8yychkd2Dv,,
2020/4-07 21:23:07 + 00:00,1247636044687847430,"@ranxiangmm During the outbreak of the epidemic, especially after the closure of the city, you were moved by the people of Wuhan and were even more admirable",changx15,,
2020/4-07 20:21:22 + 00:00,1247620504544051200,"@bannedebook The first patient appeared on November 17
 December 30 Li Wenliang whistled the whistle on December
 31, the
 Chinese side notified the WHO January 3, the Chinese side notified the US
 January 3, Li Wenliang was reprimanded for
 multiple medical infections in early
 January January 14, the WHO inspected the
 Wuhan epidemic
 January 22, the WHO discussed the Wuhan epidemic
 January 23, Wuhan announced the closure of the city
 On January 24, the national foot ban began
 January 30, WHO called on countries to avoid imposing travel restrictions",gx0dt8yychkd2Dv,,
2020-04-07 19:54:39 + 00:00,1247613778541170694,"#海森飽嗝財經筆記：當疫情的發展走向更嚴峻的地步，甚至需要祭出封城或禁足的手段，屆時只會讓「要錢」與「要命」成為單選題。 In other words, to survive, all economic activity must be curtailed, and a wave of business/business failures and labor unemployment are difficult to avoid. 

[Industry] April 2020: Tourism Industry Data Tracking - General Economic Overview https://t.co/KbYBQcQXQE",Hysunburger,,
2020-04-07 19:40:47 + 00:00,1247610289304088579,"@Xandra1117 @BoLu213 The first patient appeared on November 17
 December 30 Li Wenliang whistled the whistle December
 31, the Chinese side notified the WHO
 January 3, the Chinese side notified the US
 January 3, Li Wenliang was reprimanded for
 many medical infections in early
 January January 14, the WHO inspected the Wuhan epidemic
 January 18, the Wuhan Family Feast,
 January 22, the WHO discussed the Wuhan epidemic
 January 23 Wuhan The closure of the city
 was announced on January 24, the nationwide ban began
 January 30, WHO called on countries to avoid imposing travel restrictions",gx0dt8yychkd2Dv,,
2020-04-07 19:39:22 + 00:00,1247609935942135808,"@liming31832390 @MJTVHoPin is well controlled? In this epidemic in China, how many people were infected, how many died, and how many people went abroad before the closure of the city. If control is really good, why not let foreign experts come in and watch, why not let reporters like Chen Qiushi and foreign media report freely. You don't know anything; it's not the virus that you're afraid of; you're afraid of the unknown. After this virus, it's not just China; humanity as a whole will have to take a fresh look at what it does.",KenWang85900658,,
2020-04-07 19:32:37 + 00:00,1247608233717424128,"@MJTVHoPin Why has China been able to control this epidemic so well? Tell you: Chinese people have a strong sense of self-protection. When they learned about the closure of Wuhan, many people who were thousands of miles away consciously reduced their social activities. On January 23, everyone they could think of bought masks, and they were still able to buy them back then",liming31832390,,
2020-04-07 19:29:48 + 00:00,1247607527623348228,"@goldenp11462989 @LiuCdp2006nyc The first patient appeared on November 17
 December 30 Li Wenliang whistled the whistle December
 31, the Chinese side notified the WHO
 January 3, the Chinese side notified the US
 January 3, Li Wenliang was reprimanded for
 many medical infections in early January
 January 14, the WHO inspected the Wuhan epidemic
 January 18, the Wuhan Family Feast,
 January 22, the WHO discussed the Wuhan epidemic 
On January 23, Wuhan announced the closure of the city,
 January 24, the national ban began
 January 30, WHO called on countries to avoid imposing travel restrictions",gx0dt8yychkd2Dv,,
2020-04-07 19:29:03 + 00:00,1247607337357135873,"@nanfeilee @LiuCdp2006nyc The first patient appeared on November 17
 December 30 Li Wenliang whistled the whistle December
 31, the Chinese side notified the WHO
 January 3, the Chinese side notified the US
 January 3, Li Wenliang was reprimanded for
 many medical infections in early
 January January 14, the WHO inspected the Wuhan epidemic
 January 18, the Wuhan Family Feast
 January 22, the WHO discussed the Wuhan epidemic
 January 23 Japan, Wuhan announced the closure of the city
 on January 24, a nationwide ban began
 January 30, WHO called on countries to avoid imposing travel restrictions",gx0dt8yychkd2Dv,,
2020-04-07 19:28:44 + 00:00,1247607256583213057,"@Iamfromorient The first patient appeared on November 17
 December 30 Li Wenliang whistled the whistle December
 31, the
 Chinese side notified the WHO January 3, the Chinese side notified the US
 January 3, Li Wenliang was reprimanded for
 multiple medical infections in early
 January January 14, the WHO inspected the
 Wuhan epidemic
 January 22, the WHO discussed the Wuhan epidemic
 January 23, Wuhan announced the closure of the city 
On January 24, the national foot ban began
 January 30, WHO called on countries to avoid imposing travel restrictions",gx0dt8yychkd2Dv,,
