Datetime,Tweet Id,text,usernames,Stomach,Place
2022-05-31 23:38:42 + 00:00,1531782249464537088,"Shanghai announced a complete restart of the city. In February, citizens “mixed feelings” were “mixed”.

 Shanghai, the largest city in China, announced a “restart” after being blocked for more than two months due to the COVID-19 pandemic. The fencing barriers in residential areas began to be removed, and public transportation would also resume. The government called on enterprises to resume work and resume production in order to revive the economy. 

For many residents who go out for the first time in two months, the first thing they do when they go out is cut their hair. 

https://t.co/3azsGd9JVi",Wufanus,,
2022-05-31 23:10:59 + 00:00,1531775274085490690,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period.” 🤡😞",Jessie2021626,,
2022-05-31 22:39:12 + 00:00,1531767276453568512,"@peterliu2121 @8DTzwKSsKMmEwNV @firelemond @RealCommie @1CMRWsP2B6LrqYI @slipknothooh @Enlightener777 Shanghai should not be in voluntary quarantine, but rather that the epidemic can't be stopped. Officials don't act. If the central government orders a mandatory lockdown and quarantine, Shanghai officials should have changed their blood in a big way. You always have to do things in that position; if you don't do anything, just go out of your way there",gwrcc6guukw7iyc,,
2022-05-31 21:43:20 + 00:00,1531753217633071104,"Is the Shanghai epidemic really over? 

Pangu News closed down the CCP's Chinese-style epidemic prevention https://t.co/9zcAGbUX0o",ez2p8,,
2022-05-31 21:38:33 + 00:00,1531752016183103488,"The Shanghai government “The Shanghai government has never announced the closure of Shanghai, so there is no such thing as lifting the blockade. Shanghai residents being locked in their homes are all spontaneous acts of the neighborhood committee and village committee.” So next, it's fun. Is it retaliatory spending or retaliation against the neighborhood and village councils? Good and evil will be rewarded at the end of the day. The evil you did yesterday will soon be doubly liquidated! The epidemic [transcendental] dynamic elimination is China's overall anti-epidemic policy",ecpp7jhczja8ct3,,
2022-05-31 21:36:26 + 00:00,1531751483582124032,"@wakeupfrog01 The lockdown came to an end (had to), but the epidemic had only just begun. For all the disasters and chaos in China's fight against the epidemic today, at the end of the day, there are no effective vaccines. Lying flat (open) or not lying flat (clearing) does not change the end result; it only distorts the process leading to the outcome. All of today's ongoing disasters are protecting one's face and refusing to introduce an effective vaccine.",Travelernjusa,,
2022-05-31 21:12:31 + 00:00,1531745462109224963,"@fromshanghaic The lockdown came to an end (had to), but the epidemic had only just begun. For all the disasters and chaos in China's fight against the epidemic today, at the end of the day, there are no effective vaccines. Lying flat (open) or not lying flat (clearing) does not change the end result; it only distorts the process leading to the outcome. All of today's ongoing disasters are protecting one's face and refusing to introduce an effective vaccine.",Travelernjusa,,
2022-05-31 21:02:36 + 00:00,1531742966217609216,"@lingxia273d @MeMeTaiWan said to them it should be to win two
 lockdowns to control the epidemic, win once again win the
 people's automatic lockdown to overcome the epidemic",qq_omg,,
2022-05-31 19:49:03 + 00:00,1531724456271286273,"Say no to X-epidemic prevention! 

The epidemic is affecting foreign people, the
 epidemic prevention disaster, the Chinese people are
 lying flat and unreliable,
 banning flat and unreliable
 salt flats is the only reliable
 method is
 salt and saliva closing down the

 city is a complete
 test is a blind

 purge is a blunder is a deflation, the two methods are the right path, the
 two laws are investigating,
 not a violent closure of the city,
 not
 by doctors or by using salt water to treat
 sequelae
 with salt water 
Early salt interventional method
 saliva salt
 to prevent throat and poison https://t.co/xgXWPUOJa2",Jimmyzh08011801,,
2022-05-31 19:38:01 + 00:00,1531721680900567041,"Some people say that during the epidemic, China's economy was not good. Well, did you not see how much money the CCP spent on nucleic acid tests, vaccinations, and city closures, tens of trillions of yuan. These are all counted as GDP figures. If you look at the numbers, it's definitely economic development, but the debt was borne by the people. 

https://t.co/HrtgUxtmVY",StarLuxeus,,
