Datetime,Tweet Id,Text,Username,Coordinates,Place
2020-03-01 23:54:33+00:00,1234265800363646982,"Coronavirus: Washington state nursing home placed on lockdown
#COVID19 #US
https://t.co/zmGxKrZvEB",Asitseemstome,,
2020-03-01 23:16:50+00:00,1234256311606489089,"@amybruni @JohnDePetroshow @NewportBuzz Someone I know had to rush a child to @HasbroChildrens and I'm hearing that they put the hospital on lockdown as there have been positive COVID19 tests, but nothing has made the news.",LaGringaLoca666,,
2020-03-01 23:16:01+00:00,1234256103090933760,"@luispedrocoelho Here's how the #coronavirus situation looks like 1 week later:

could it be that Italy's 'earlier' lockdown prevented #COVID19 to further spread? If anyone is an expert on this I'd appreciate hearing your thoughts on this.

#coronavirusitalia 
#covid19italy https://t.co/02LKAcyKkg",NccAcc,,
2020-03-01 22:46:54+00:00,1234248779504726017,"Tourists staying at a Tenerife hotel that has been on lockdown after five cases of the #coronavirus were detected there are free to leave if they test negative for the virus: health authorities

#Coronavid19 #COVID19
https://t.co/zLXamrBS1P",Apex_WW,,
2020-03-01 22:45:18+00:00,1234248374720835584,"We don't have a clue.
Only thing we saw is China taking draconic measures, even welding in their own people, putting almost 750 millions in quarantaine, ordering incinerators.

We don't know what we deal with! Everyone in lockdown till further notice =  cautious! 
#COVID19",AnjaLenaerts,,
2020-03-01 20:32:26+00:00,1234214937347551232,"To reduce my risk of getting  #covid19 #coronavirus I'm self-isolating. There might not be a vaccine for 18 months, so I'm preparing for a potentially very long lockdown. Rather than feeling fear about it, it feels like an interesting, fun problem to solve, and I'm solving it. 👍",FitzClaridge,,
2020-03-01 20:30:02+00:00,1234214332092866562,"#breaking

US health secretary Alex Azar confirmed new case of coronavirus in Chicago

Rhode Island announced first known case, via Italy

Italy spreading to to World

Should already stocked up food for a period of lockdown

#CoronaVirus #COVID19

https://t.co/5XKv4qUK6n",nethead,,
2020-03-01 19:49:12+00:00,1234204059386699777,@alisonkatebr Normally I am 100% with you on the Brexit Brit-bashing but on #covid19 UK has done a better job than NL so far. They've tested over 11k. Our @rivm had only tested 50. Which is why we have a hospital in lockdown because they hadn't bothered to test a patient they should have done,alscriv,,
2020-03-01 19:46:45+00:00,1234203441569746944,#coronavirus  hits football world. Juventus In Lockdown As Three Players Test Positive For The Coronavirus https://t.co/MN4axwKY0R #coronavirus #covid19 #wuhanpneumonia https://t.co/vcmFfXR3U1,MahmudRezaKhan1,,
2020-03-01 19:33:19+00:00,1234200059262181386,"Potential last supper including fresh veg before #COVID19 lockdown. Fear not followers, I’m not only having the one sausage.....I ate another two whilst dishing up. https://t.co/SGwsornSE4",2Saturn23,,
2020-03-01 19:08:26+00:00,1234193798386900994,@LeaveEUOfficial So how will this work when governments are talking about putting cities in 'lockdown' if #CoVid19 gets too bad?,helenhims,,
2020-03-01 19:07:00+00:00,1234193439337508864,"NASA dan ESA mendeteksi penurunan drastis tingkat polusi udara nitrogen dioksit di langit China sebulan setelah lockdown. #coronavirus #COVID19  Bisa jd mudah tumbangnya org2 China oleh covid19 krn polusi udara tinggi , mengurangi daya tahan tubuh",CrushHopeless1,,
2020-03-01 19:01:50+00:00,1234192137526231046,"#coronavirus UK PM says virus will likely 'spread a bit more' after UK records largest jump in new cases, 35 #covid19 #pandemic #InfectiousDisease #travelalert #uk #Lockdown",MusafirNamah,,
2020-03-01 18:59:03+00:00,1234191437152997377,"#coronavirus UK government is refusing to rule out placing entire cities on lockdown if the UK experiences a widespread coronavirus outbreak, according to the health secretary.  #covid19 #pandemic #InfectiousDisease #travelalert #uk #Lockdown",MusafirNamah,,
2020-03-01 18:35:00+00:00,1234185385930055680,"The #CoronavirusOutbreak could force the UK to implement sweeping restrictions on travel and place cities on #Lockdown, the country’s #Health secretary suggested, in the starkest admission yet on what #London might do curb the spread of the #COVID19 virus. https://t.co/2muFdCbtzV",EpochTimesChina,,
