conversation_id,created_at,author_id,text,Id,edit_history_tweet_ids,author_name,original_text,top_emotion,top_emotion_score,second_emotion,second_emotion_score,third_emotion,third_emotion_score
1.64E+18,2023-03-31T11:25:03 .000Z,1.33E+18,"@Jam79922967 Ma Ying-jeous remarks indicate that he approved a series of measures implemented by the CCP during the epidemic. It can be seen that if he takes office, the CCPs city closure, vaccine, and nucleic acid testing policies will also be implemented. _x000D_
 The people of Taiwan need to keep their eyes open!",1.64E+18,[1641763531325599744,MineUniverse08,"@Jam79922967 Ma Ying-jeous remarks indicate that he approved a series of measures implemented by the CCP during the epidemic. It can be seen that if he takes office, the CCPs city closure, vaccine, and nucleic acid testing policies will also be implemented. _x000D_
 The people of Taiwan need to keep their eyes open!",approval,0.991565943,realization,0.005875987,neutral,0.000470718
1.64E+18,2023-03-31T11:19:37 .000Z,7.62E+17,"RT @initiumnews: “Xu Qiu still thinks its the best city for living in China. But she also realized that no matter how good Shanghai is, its just “Titanics first class.” _x000D_
 _x000D_
 When the sound of April sounded again, Shanghai was no longer the same as when it closed down last year. Now the entire city is reviving, and the traces of the epidemic have been erased clean and clean. https://t.co/qgu7...",1.64E+18,[1641762165203042304,SijiEdu,"“Xu Qiu still feels that it is the best and most suitable city for living in China. But she also realized that no matter how good Shanghai is, its just “Titanics first class.” _x000D_
 _x000D_
 When the sound of April sounded again, Shanghai was no longer the same as when it closed down last year. Now the entire city is reviving, and the traces of the epidemic have been erased clean and clean. https://t.co/qgu7...",approval,0.990576625,realization,0.006639402,neutral,0.001040792
1.64E+18,2023-03-31T10:59:02 .000Z,1.54E+18,"@lidangzzz Other than the fact that the three-year epidemic had a big impact on large developed cities such as Shanghai and Beijing, it had basically had no impact on small to medium cities. Anyway, in the past three years, apart from having just caught a COVID-19, everything else was no different from normal. I havent seen any food grabbers, and the impact of the closure of the city wasnt significant. Its no different from normal; I can only tell the truth from the facts",1.64E+18,[1641756986281959424,gfhhgbjjuh,"@lidangzzz Other than the fact that the three-year epidemic had a big impact on large developed cities such as Shanghai and Beijing, it had basically had no impact on small to medium cities. Anyway, in the past three years, apart from having just caught a COVID-19, everything else was no different from normal. I havent seen any food grabbers, and the impact of the closure of the city wasnt significant. Its no different from normal; I can only tell the truth from the facts",approval,0.9725945,neutral,0.014689248,realization,0.010168072
1.64E+18,2023-03-31T07:34:50 .000Z,1648010748,"@RFA_Chinese We need to look at this matter in different stages. In the early days, local governments deliberately concealed the epidemic. Of course this was about who should carry the cooking and who carried the blame, nothing to say. After that, Wuhan was decisively closed down. Of course, this was a great contribution to humanity. If they were free like the US and continued to spread, would that be good? As for some of the humanitarian disasters during the closure of Wuhan, the operational level was not done well; decisions cannot be blamed.",1.64E+18,[1641705598755672064,Paololee4,"@RFA_Chinese We need to look at this matter in different stages. In the early days, local governments deliberately concealed the epidemic. Of course this was about who should carry the cooking and who carried the blame, nothing to say. After that, Wuhan was decisively closed down. Of course, this was a great contribution to humanity. If they were free like the US and continued to spread, would that be good? As for some of the humanitarian disasters during the closure of Wuhan, the operational level was not done well; decisions cannot be blamed.",approval,0.993029058,admiration,0.002811681,neutral,0.001813748
1.64E+18,2023-03-31T06:55:19 .000Z,356739178,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.64E+18,[1641695651204571137,AARoCN,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",realization,0.88696593,neutral,0.091812655,approval,0.006028271
1.64E+18,2023-03-31T06:51:14.000Z,2876961888,"@LEE64759634 @dw_chinese I respect your choice. Both have advantages and disadvantages. As long as you feel that it is beneficial to you and have enough “freedom” in life, you can make choices. I will talk about the “national criminal” incident, and I think they should be placed on the “Chinese government”. The Chinese people are fed up with the impact of the epidemic and their lives, which has led to the closure of many peoples cities, which has affected peoples lives and economies. They dont want to speak up for China, but rather talk about it.",1.64E+18,[1641694623205855232,CJCADMIKE,"@LEE64759634 @dw_chinese I respect your choice. Both have advantages and disadvantages. As long as you feel that it is beneficial to you and have enough “freedom” in life, you can make choices. I will talk about the “national criminal” incident, and I think they should be placed on the “Chinese government”. The Chinese people are fed up with the impact of the epidemic and their lives, which has led to the closure of many peoples cities, which has affected peoples lives and economies. They dont want to speak up for China, but rather talk about it.",desire,0.938002408,neutral,0.049169563,approval,0.003498997
1.64E+18,2023-03-31T05:58:07 .000Z,1.22E+18,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.64E+18,[1641681255820410883,Evveevveevveve,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",realization,0.88696593,neutral,0.091812655,approval,0.006028271
1.64E+18,2023-03-31T05:53:33 .000Z,1.47E+18,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.64E+18,[1641680107201867779,Pengpeiao1,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",realization,0.88696593,neutral,0.091812655,approval,0.006028271
1.64E+18,2023-03-31T05:20:51 .000Z,1.31E+18,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.64E+18,[1641671880246726656,3VW7F3MKTUVN0Hz,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",realization,0.88696593,neutral,0.091812655,approval,0.006028271
1.64E+18,2023-03-31T04:24:46 .000Z,1.64E+18,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people? https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.64E+18,[1641657764941557760,Maretta2008,"[How did the closure of Shanghai happen after 25 million people lived in two months? https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",optimism,0.940520525,neutral,0.049956288,approval,0.002783598
