Datetime,Tweet Id,text,usernames,Stomach,Place,text_lemme,top_emotion,top_emotion_score,second_emotion,second_emotion_score,third_emotion,third_emotion_score
2022-05-31 23:38:42 + 00:00,1.53E+18,"Shanghai announced a complete restart of the city. In February, citizens “mixed feelings” were “mixed”.

 Shanghai, the largest city in China, announced a “restart” after being blocked for more than two months due to the COVID-19 pandemic. The fencing barriers in residential areas began to be removed, and public transportation would also resume. The government called on enterprises to resume work and resume production in order to revive the economy. 

For many residents who go out for the first time in two months, the first thing they do when they go out is cut their hair. 

https://t.co/3azsGd9JVi",Wufanus,,,shanghai announced complete restart city february citizen “ mixed feeling ” “ mixed ” shanghai largest city china announced “ restart ” blocked month covid 19 pandemic fencing barrier residential area began removed public transportation resume government called enterprise resume work resume production order revive economy for resident time month thing cut hair http t 3azsgd9jvi,approval,0.992630601,admiration,0.004917862,neutral,0.000445343
2022-05-31 23:10:59 + 00:00,1.53E+18,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period.” 🤡😞",Jessie2021626,,,29 shanghai held press conference prevention control epidemic relevant leader officially denied “ closure city ” claim saying “ shanghai announced blockade unblocking term unblock static management entire shanghai area pressing pause button core function city remained operation period ” 🤡😞,disapproval,0.633875608,approval,0.337090194,neutral,0.009519806
2022-05-31 22:39:12 + 00:00,1.53E+18,"@peterliu2121 @8DTzwKSsKMmEwNV @firelemond @RealCommie @1CMRWsP2B6LrqYI @slipknothooh @Enlightener777 Shanghai should not be in voluntary quarantine, but rather that the epidemic can't be stopped. Officials don't act. If the central government orders a mandatory lockdown and quarantine, Shanghai officials should have changed their blood in a big way. You always have to do things in that position; if you don't do anything, just go out of your way there",gwrcc6guukw7iyc,,,peterliu2121 8dtzwksskmmewnv firelemond realcommie 1cmrwsp2b6lrqyi slipknothooh enlightener777 shanghai voluntary quarantine epidemic t stopped official t act central government order mandatory lockdown quarantine shanghai official changed blood big way thing position t way,approval,0.997402191,admiration,0.000790443,neutral,0.000326285
2022-05-31 21:43:20 + 00:00,1.53E+18,"Is the Shanghai epidemic really over? 

Pangu News closed down the CCP's Chinese-style epidemic prevention https://t.co/9zcAGbUX0o",ez2p8,,,shanghai epidemic pangu news closed ccp s chinese style epidemic prevention http t 9zcagbux0o,approval,0.993176162,realization,0.004648111,neutral,0.000552296
2022-05-31 21:38:33 + 00:00,1.53E+18,"The Shanghai government “The Shanghai government has never announced the closure of Shanghai, so there is no such thing as lifting the blockade. Shanghai residents being locked in their homes are all spontaneous acts of the neighborhood committee and village committee.” So next, it's fun. Is it retaliatory spending or retaliation against the neighborhood and village councils? Good and evil will be rewarded at the end of the day. The evil you did yesterday will soon be doubly liquidated! The epidemic [transcendental] dynamic elimination is China's overall anti-epidemic policy",ecpp7jhczja8ct3,,,shanghai government “ the shanghai government announced closure shanghai thing lifting blockade shanghai resident locked home spontaneous act neighborhood committee village committee ” s fun retaliatory spending retaliation neighborhood village council good evil rewarded end day evil yesterday soon doubly liquidated ! epidemic transcendental dynamic elimination china s overall anti epidemic policy,joy,0.865041971,neutral,0.124674909,amusement,0.007125487
2022-05-31 21:36:26 + 00:00,1.53E+18,"@wakeupfrog01 The lockdown came to an end (had to), but the epidemic had only just begun. For all the disasters and chaos in China's fight against the epidemic today, at the end of the day, there are no effective vaccines. Lying flat (open) or not lying flat (clearing) does not change the end result; it only distorts the process leading to the outcome. All of today's ongoing disasters are protecting one's face and refusing to introduce an effective vaccine.",Travelernjusa,,,wakeupfrog01 lockdown came end epidemic begun disaster chaos china s fight epidemic today end day effective vaccine lying flat open lying flat clearing change end result distorts process leading outcome today s ongoing disaster protecting s face refusing introduce effective vaccine,approval,0.988520324,realization,0.00881237,neutral,0.00045609
2022-05-31 21:12:31 + 00:00,1.53E+18,"@fromshanghaic The lockdown came to an end (had to), but the epidemic had only just begun. For all the disasters and chaos in China's fight against the epidemic today, at the end of the day, there are no effective vaccines. Lying flat (open) or not lying flat (clearing) does not change the end result; it only distorts the process leading to the outcome. All of today's ongoing disasters are protecting one's face and refusing to introduce an effective vaccine.",Travelernjusa,,,fromshanghaic lockdown came end epidemic begun disaster chaos china s fight epidemic today end day effective vaccine lying flat open lying flat clearing change end result distorts process leading outcome today s ongoing disaster protecting s face refusing introduce effective vaccine,approval,0.977209508,realization,0.017777283,neutral,0.001132097
2022-05-31 21:02:36 + 00:00,1.53E+18,"@lingxia273d @MeMeTaiWan said to them it should be to win two
 lockdowns to control the epidemic, win once again win the
 people's automatic lockdown to overcome the epidemic",qq_omg,,,lingxia273d memetaiwan said win two lockdown control epidemic win win the people s automatic lockdown overcome epidemic,approval,0.992415667,realization,0.003530349,neutral,0.001158149
2022-05-31 19:49:03 + 00:00,1.53E+18,"Say no to X-epidemic prevention! 

The epidemic is affecting foreign people, the
 epidemic prevention disaster, the Chinese people are
 lying flat and unreliable,
 banning flat and unreliable
 salt flats is the only reliable
 method is
 salt and saliva closing down the

 city is a complete
 test is a blind

 purge is a blunder is a deflation, the two methods are the right path, the
 two laws are investigating,
 not a violent closure of the city,
 not
 by doctors or by using salt water to treat
 sequelae
 with salt water 
Early salt interventional method
 saliva salt
 to prevent throat and poison https://t.co/xgXWPUOJa2",Jimmyzh08011801,,,x epidemic prevention ! the epidemic affecting foreign people the epidemic prevention disaster chinese people are lying flat unreliable banning flat unreliable salt flat reliable method is salt saliva closing the city complete test blind purge blunder deflation method right path the law investigating violent closure city not doctor salt water treat sequela salt water early salt interventional method saliva salt prevent throat poison http t xgxwpuoja2,sadness,0.928404272,disappointment,0.053205378,neutral,0.002905464
2022-05-31 19:38:01 + 00:00,1.53E+18,"Some people say that during the epidemic, China's economy was not good. Well, did you not see how much money the CCP spent on nucleic acid tests, vaccinations, and city closures, tens of trillions of yuan. These are all counted as GDP figures. If you look at the numbers, it's definitely economic development, but the debt was borne by the people. 

https://t.co/HrtgUxtmVY",StarLuxeus,,,people epidemic china s economy good money ccp spent nucleic acid test vaccination city closure ten trillion yuan counted gdp figure look number s definitely economic development debt borne people http t hrtguxtmvy,approval,0.572744906,neutral,0.228986457,admiration,0.161269352
