,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0.0,0.5907,"month, people, life, number, flight, human, closure, blockade, live, today","['remark', 'indicate', 'approve', 'series', 'measure', 'implement', 'epidemic', 'see', 'take', 'office', 'vaccine', 'nucleic', 'acid', 'testing', 'policy', 'also', 'implement', 'people', 'need', 'keep', 'eye', 'open']"
1,1,2.0,0.9956,"city, live, good, year, people, no, clean, long, close, epidemic","['still_think', 'good', 'city', 'live', 'also', 'realize', 'no', 'matter', 'good', 'just', 'titanic_first', 'class', 'sound', 'april_sounde', 'again', 'no', 'long', 'same', 'close', 'last', 'year', 'now', 'entire', 'city', 'revive', 'trace', 'epidemic', 'erase', 'clean', 'clean']"
2,2,2.0,0.6661,"city, live, good, year, people, no, clean, long, close, epidemic","['other', 'fact', 'year', 'epidemic', 'big', 'impact', 'large', 'develop', 'city', 'such', 'basically', 'impact', 'small', 'medium', 'city', 'anyway', 'past', 'year', 'apart', 'have', 'just', 'catch', 'covid', 'else', 'no', 'different', 'normal', 'haven', 'see', 'food', 'grabber', 'impact', 'closure', 'city', 'wasn', 'significant', 'no', 'different', 'normal', 'only', 'tell', 'truth', 'fact']"
3,3,3.0,0.6839,"fever, go, foreign, xd, uncle, aunt, epidemic, year, again, city","['need', 'look', 'matter', 'different', 'stage', 'early', 'day', 'local', 'government', 'deliberately', 'conceal', 'epidemic', 'course', 'carry', 'cooking', 'carry', 'blame', 'say', 'decisively', 'close', 'down', 'course', 'great', 'contribution', 'humanity', 'free', 'continue', 'spread', 'good', 'humanitarian', 'disaster', 'closure', 'operational', 'level', 'do', 'well', 'decision', 'blame']"
4,4,0.0,0.9937,"month, people, life, number, flight, human, closure, blockade, live, today","['covid', 'pandemic', 'various', 'lockdown', 'restriction', 'absurd', 'extremely', 'inhumane', 'epidemic', 'abate', 'primary', 'secondary_school', 'begin', 'partially', 'open', 'parent', 'begin', 'reflect', 'absurd', 'inhumane', 'epidemic', 'prevention', 'measure']"
5,5,2.0,0.7617,"city, live, good, year, people, no, clean, long, close, epidemic","['respect', 'choice', 'advantage', 'disadvantage', 'as', 'long', 'feel', 'beneficial', 'enough', 'freedom', 'life', 'make', 'choice', 'talk', 'national', 'criminal', 'incident', 'think', 'place', 'chinese', 'government', 'chinese', 'people', 'feed', 'impact', 'epidemic', 'life', 'lead', 'closure', 'many', 'people', 'city', 'affect', 'people', 'life', 'economy', 'don', 'want', 'speak', 'rather', 'talk']"
6,6,0.0,0.9937,"month, people, life, number, flight, human, closure, blockade, live, today","['covid', 'pandemic', 'various', 'lockdown', 'restriction', 'absurd', 'extremely', 'inhumane', 'epidemic', 'abate', 'primary', 'secondary_school', 'begin', 'partially', 'open', 'parent', 'begin', 'reflect', 'absurd', 'inhumane', 'epidemic', 'prevention', 'measure']"
7,7,0.0,0.9937,"month, people, life, number, flight, human, closure, blockade, live, today","['covid', 'pandemic', 'various', 'lockdown', 'restriction', 'absurd', 'extremely', 'inhumane', 'epidemic', 'abate', 'primary', 'secondary_school', 'begin', 'partially', 'open', 'parent', 'begin', 'reflect', 'absurd', 'inhumane', 'epidemic', 'prevention', 'measure']"
8,8,0.0,0.9937,"month, people, life, number, flight, human, closure, blockade, live, today","['covid', 'pandemic', 'various', 'lockdown', 'restriction', 'absurd', 'extremely', 'inhumane', 'epidemic', 'abate', 'primary', 'secondary_school', 'begin', 'partially', 'open', 'parent', 'begin', 'reflect', 'absurd', 'inhumane', 'epidemic', 'prevention', 'measure']"
9,9,0.0,0.9948,"month, people, life, number, flight, human, closure, blockade, live, today","['closure', 'come', 'month', 'live', 'people', 'close', 'train', 'station', 'airport', 'drastically', 'reduce', 'number', 'flight', 'logistic', 'problem', 'life', 'people', 'suspend', 'month', 'today', 'blockade', 'line', 'blue', 'fence', 'cut', 'human', 'life', 'past']"
10,10,1.0,0.9916,"city, people, year, business, even, big, chinese, closure, economy, memory","['clown', 'character', 'swap', 'closure', 'epidemic', 'spread', 'step', 'step', 'become', 'more', 'more', 'become', 'more', 'more', 'world', 'exciting', 'want', 'keep', 'watch']"
11,11,0.0,0.9937,"month, people, life, number, flight, human, closure, blockade, live, today","['covid', 'pandemic', 'various', 'lockdown', 'restriction', 'absurd', 'extremely', 'inhumane', 'epidemic', 'abate', 'primary', 'secondary_school', 'begin', 'partially', 'open', 'parent', 'begin', 'reflect', 'absurd', 'inhumane', 'epidemic', 'prevention', 'measure']"
12,12,0.0,0.9937,"month, people, life, number, flight, human, closure, blockade, live, today","['covid', 'pandemic', 'various', 'lockdown', 'restriction', 'absurd', 'extremely', 'inhumane', 'epidemic', 'abate', 'primary', 'secondary_school', 'begin', 'partially', 'open', 'parent', 'begin', 'reflect', 'absurd', 'inhumane', 'epidemic', 'prevention', 'measure']"
13,13,0.0,0.9948,"month, people, life, number, flight, human, closure, blockade, live, today","['closure', 'come', 'month', 'live', 'people', 'close', 'train', 'station', 'airport', 'drastically', 'reduce', 'number', 'flight', 'logistic', 'problem', 'life', 'people', 'suspend', 'month', 'today', 'blockade', 'line', 'blue', 'fence', 'cut', 'human', 'life', 'past']"
14,14,2.0,0.9956,"city, live, good, year, people, no, clean, long, close, epidemic","['still_think', 'good', 'city', 'live', 'also', 'realize', 'no', 'matter', 'good', 'just', 'titanic_first', 'class', 'sound', 'april_sounde', 'again', 'no', 'long', 'same', 'close', 'last', 'year', 'now', 'entire', 'city', 'revive', 'trace', 'epidemic', 'erase', 'clean', 'clean']"
15,15,0.0,0.9948,"month, people, life, number, flight, human, closure, blockade, live, today","['closure', 'come', 'month', 'live', 'people', 'close', 'train', 'station', 'airport', 'drastically', 'reduce', 'number', 'flight', 'logistic', 'problem', 'life', 'people', 'suspend', 'month', 'today', 'blockade', 'line', 'blue', 'fence', 'cut', 'human', 'life', 'past']"
16,16,3.0,0.5015,"fever, go, foreign, xd, uncle, aunt, epidemic, year, again, city","['conceal', 'epidemic', 'need', 'city', 'closure', 'other', 'country', 'hide', 'outbreak', 'furthermore', 'international', 'flight', 'continue', 'open', 'closure', 'deliberately', 'cause', 'spread', 'virus', 'attack', 'country', 'take', 'precautionary', 'measure', 'such', 'mislead', 'international', 'community', 'let', 'alone', 'conceal', 'original', 'datum', 'now', 'refuse', 'cooperate', 'international', 'community', 'investigate', 'origin', 'datum', 'timeline', 'search', 'recover', 'ignore', 'fact', 'cover']"
17,17,1.0,0.9962,"city, people, year, business, even, big, chinese, closure, economy, memory","['erase', 'memory', 'year', 'fast', 'ordinary', 'people', 'bottom', 'even', 'remember', 'pandemic', 'grabbing_food', 'closure', 'city', 'stealing_fun', 'next_second', 'plunged_directly', 'ohio_leak', 'wang_xiaofei', 'big', 'follow', 'small', 'medium_sized', 'business', 'owner', 'year', 'immediately_took', 'loan', 'open_restaurant', 'teach', 'train', 'engage', 'commerce_inv', 'milk_tea', 'meet', 'provincial', 'city', 'leaders_promise', 'welcome', 'business', 'revitalize', 'economy', 'big']"
18,18,0.0,0.9948,"month, people, life, number, flight, human, closure, blockade, live, today","['closure', 'come', 'month', 'live', 'people', 'close', 'train', 'station', 'airport', 'drastically', 'reduce', 'number', 'flight', 'logistic', 'problem', 'life', 'people', 'suspend', 'month', 'today', 'blockade', 'line', 'blue', 'fence', 'cut', 'human', 'life', 'past']"
19,19,0.0,0.9948,"month, people, life, number, flight, human, closure, blockade, live, today","['closure', 'come', 'month', 'live', 'people', 'close', 'train', 'station', 'airport', 'drastically', 'reduce', 'number', 'flight', 'logistic', 'problem', 'life', 'people', 'suspend', 'month', 'today', 'blockade', 'line', 'blue', 'fence', 'cut', 'human', 'life', 'past']"
20,20,1.0,0.9962,"city, people, year, business, even, big, chinese, closure, economy, memory","['erase', 'memory', 'year', 'fast', 'ordinary', 'people', 'bottom', 'even', 'remember', 'pandemic', 'grabbing_food', 'closure', 'city', 'stealing_fun', 'next_second', 'plunged_directly', 'ohio_leak', 'wang_xiaofei', 'big', 'follow', 'small', 'medium_sized', 'business', 'owner', 'year', 'immediately_took', 'loan', 'open_restaurant', 'teach', 'train', 'engage', 'commerce_inv', 'milk_tea', 'meet', 'provincial', 'city', 'leaders_promise', 'welcome', 'business', 'revitalize', 'economy', 'big']"
21,21,2.0,0.9958,"city, live, good, year, people, no, clean, long, close, epidemic","['hurry', 'decouple', 'close', 'academic', 'database', 'foreign', 'country', 'recently', 'report', 'vaccination', 'lockdown', 'datum', 'pandemic', 'also', 'systematically', 'delete', 'afraid', 'far', '脱钩', 'academic', 'database', 'close', 'door', 'foreign', 'scholar', 'big', '学术数据库', 'recently', 'leave', 'country', 'datum']"
22,22,0.0,0.9948,"month, people, life, number, flight, human, closure, blockade, live, today","['closure', 'come', 'month', 'live', 'people', 'close', 'train', 'station', 'airport', 'drastically', 'reduce', 'number', 'flight', 'logistic', 'problem', 'life', 'people', 'suspend', 'month', 'today', 'blockade', 'line', 'blue', 'fence', 'cut', 'human', 'life', 'past']"
23,23,1.0,0.9916,"city, people, year, business, even, big, chinese, closure, economy, memory","['protestant', 'trump', 'didn', 'convert', 'orthodoxy', 'catholicism', 'one', 'prove', 'pastor', 'pawlowski', 'pastor', 'derek', 'other', 'arrest', 'protest', 'closure', 'city', 'epidemic', 'protestant']"
24,24,2.0,0.8814,"city, live, good, year, people, no, clean, long, close, epidemic","['hurry', 'decouple', 'close', 'academic', 'database', 'foreign', 'country', 'recently', 'report', 'vaccination', 'lockdown', 'datum', 'pandemic', 'also', 'systematically', 'delete', 'afraid', 'far', '脱钩', 'academic', 'database', 'close', 'door', 'foreign', 'academic', 'big', '学术数据库', 'recently', 'leave', 'country', 'datum', 'new']"
25,25,2.0,0.9953,"city, live, good, year, people, no, clean, long, close, epidemic","['ma', 'elderly', 'person', 'dementia', 'forget', 'closure', 'year', 'people', 'escape', 'city', 'population', 'world', 'cause', 'spread', 'epidemic', 'death', 'people', 'year', 'horse', 'really', 'slap', 'horse', 'lick', 'way', 'foot', 'worthy', 'surname', 'ma']"
26,26,0.0,0.7852,"month, people, life, number, flight, human, closure, blockade, live, today","['confidential', 'year', 'document', 'reveal', 'episode', 'notice', 'prepare', 'emergency', 'preparedness', 'guideline', 'operation', 'city', 'closure', 'large', 'scale', 'epidemic', 'major_citie']"
27,27,1.0,0.9954,"city, people, year, business, even, big, chinese, closure, economy, memory","['collapse', 'chinese', 'company', 'cause', 'trend', 'unemployment_falle', 'street', 'also', 'charge', 'year', 'epidemic', 'period', 'reinvent', 'chinese', 'economy', 'many', 'company', 'go', 'business', 'number', 'unemployed', 'people', 'major_citie', 'increased_dramatically', 'more', 'more', 'people', 'live', 'street', 'report', 'sleeping_bridge', 'fee', 'even', 'charge', 'some_place']"
28,28,2.0,0.7917,"city, live, good, year, people, no, clean, long, close, epidemic","['really', 'close', 'last', 'year', 'also', 'break', 'epidemic', 'seal', 'also', 'make', 'special', 'brochure', 'promote', 'covid', 'just', 'flu', 'wear', 'mask', 'ventilate', 'frequently', 've', 'block', 'idiot', 'month']"
29,29,0.0,0.9948,"month, people, life, number, flight, human, closure, blockade, live, today","['closure', 'come', 'month', 'live', 'people', 'close', 'train', 'station', 'airport', 'drastically', 'reduce', 'number', 'flight', 'logistic', 'problem', 'life', 'people', 'suspend', 'month', 'today', 'blockade', 'line', 'blue', 'fence', 'cut', 'human', 'life', 'past']"
30,30,1.0,0.9954,"city, people, year, business, even, big, chinese, closure, economy, memory","['collapse', 'chinese', 'company', 'cause', 'trend', 'unemployment_falle', 'street', 'also', 'charge', 'year', 'epidemic', 'period', 'reinvent', 'chinese', 'economy', 'many', 'company', 'go', 'business', 'number', 'unemployed', 'people', 'major_citie', 'increased_dramatically', 'more', 'more', 'people', 'live', 'street', 'report', 'sleeping_bridge', 'fee', 'even', 'charge', 'some_place']"
31,31,3.0,0.9906,"fever, go, foreign, xd, uncle, aunt, epidemic, year, again, city","['year', 'epidemic', 'relatively', 'severe', 'city', 'close', 'down', 'there', 'still', 'nucleic', 'acid', 'time', 'call', 'saw']"
32,32,2.0,0.7858,"city, live, good, year, people, no, clean, long, close, epidemic","['evacuate', 'large', 'scale', 'apple', 'foundry', 'mainland', 'produce', 'export', 'world', 'create', 'lot', 'foreign', 'exchange', 'taxis', 'employment', 'taiming', 'say', 'afraid', 'withdrawal', 'foreign', 'company', 'begin', 'trade', 'war', 'pandemic', 'lockdown', 'policy', 'force', 'world', 'restructure', 'industry', 'supply', 'chain', 'russian', 'ukrainian', 'war', 'bad', 'relation', 'cause', 'order', 'fear', 'shift', 'economic', 'consequence', 'serious']"
33,33,1.0,0.9962,"city, people, year, business, even, big, chinese, closure, economy, memory","['erase', 'memory', 'year', 'fast', 'ordinary', 'people', 'bottom', 'even', 'remember', 'pandemic', 'grabbing_food', 'closure', 'city', 'stealing_fun', 'next_second', 'plunged_directly', 'ohio_leak', 'wang_xiaofei', 'big', 'follow', 'small', 'medium_sized', 'business', 'owner', 'year', 'immediately_took', 'loan', 'open_restaurant', 'teach', 'train', 'engage', 'commerce_inv', 'milk_tea', 'meet', 'provincial', 'city', 'leaders_promise', 'welcome', 'business', 'revitalize', 'economy', 'big']"
34,34,0.0,0.9948,"month, people, life, number, flight, human, closure, blockade, live, today","['closure', 'come', 'month', 'live', 'people', 'close', 'train', 'station', 'airport', 'drastically', 'reduce', 'number', 'flight', 'logistic', 'problem', 'life', 'people', 'suspend', 'month', 'today', 'blockade', 'line', 'blue', 'fence', 'cut', 'human', 'life', 'past']"
