,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,1.0,0.7846,"city, people, country, close, closure, take, control, government, spread, day","['democratic', 'liberal', 'country', 'close', 'city', 'violates_human', 'right', 'inhumane', 'law', 'course', 'admit', 'autocratic', 'country', 'treatment', 'relatively', 'effective', 'democracy', 'control', 'spread', 'north_korea']"
1,1,1.0,0.7858,"city, people, country, close, closure, take, control, government, spread, day","['replurk', 'silent', 'submarine', 'undivided', 'make', 'move', 'today', 'say', 'legislature', 'likely', 'break', 'day', 'want', 'government', 'good_job', 'closing', 'city']"
2,2,2.0,0.5182,"return, prevention, video, announce, guy, australian, hubei, continue, blockade, lift","['black', 'population', 'area', 'explode', 'receive', 'large', 'number', 'return', 'addition', 'recent', 'report', 'asymptomatic', 'infection', 'various', 'place', 'publicity', 'direction', 'clearly', 'escalate', 'previously', 'downplay', 'chinese', 'addition', 'area', 'originally', 'schedule', 'unblocked', 'expire', 'unblocked', 'block', 'area', 'continue', 'add', 'second', 'closure', 'city']"
3,3,1.0,0.715,"city, people, country, close, closure, take, control, government, spread, day","['lift', 'day', 'later', 'people', 'expect', 'leave', 'train', 'late', 'development']"
4,4,1.0,0.5243,"city, people, country, close, closure, take, control, government, spread, day","['food', 'crisis', 'accord', 'world', 'food', 'agriculture', 'organization', 'addition', 'affect', 'novel', 'many', 'region', 'invade', 'insect', 'ban', 'export', 'rice', 'major', 'rice', 'exporter', 'cause', 'closure', 'country', 'city', 'cause', 'closure', 'country', 'cause', 'global', 'food', 'crisis', 'unavoidable', 'pay_attention', 'food', 'crisis', 'plan', 'ordinary', 'people', 'respond', 'future']"
5,5,1.0,0.6253,"city, people, country, close, closure, take, control, government, spread, day","['summary', 'reason', 'lead', 'world', 'outbreak', 'attract', 'attention', 'united_state']"
6,6,1.0,0.6434,"city, people, country, close, closure, take, control, government, spread, day","['least', 'falun', 'gong', 'practitioner', 'wrongfully', 'judge', 'district', 'village', 'close', 'mainland', 'people', 'worry', 'safety', 'security', 'agency', 'specialize', 'persecute', 'direct', 'various', 'agency', 'public', 'prosecution', 'law', 'continue', 'persecute', 'least', 'falun', 'practitioner', 'unlawfully', 'sentence']"
7,7,1.0,0.7746,"city, people, country, close, closure, take, control, government, spread, day","['lift', 'blockade', 'good', 'thing', 'least', 'show', 'long', 'afraid', 'early', 'overcome', 'hope', 'even', 'second_wave', 'occurs', 'extreme', 'measure', 'closure', 'city', 'long', 'take', 'confront', 'peacefully']"
8,8,1.0,0.7778,"city, people, country, close, closure, take, control, government, spread, day","['city', 'close', 'square_cabin', 'hospital', 'build', 'quarantine', 'realize', 'seriousness', 'problem', 'ordinary', 'people', 'world', 'aware', 'severity', 'medium', 'government', 'continue', 'discredit', 'make', 'think', 'weaken', 'harm', 'ncov', 'government', 'really', 'fault']"
9,9,1.0,0.5568,"city, people, country, close, closure, take, control, government, spread, day","['first', 'patient', 'appear', 'whistle', 'side_notifie', 'side_notifie', 'reprimand', 'many', 'medical', 'infection', 'early', 'inspect', 'discuss', 'announce', 'nationwide', 'ban', 'begin', 'call', 'country', 'avoid_impose', 'travel_restriction']"
10,10,1.0,0.7729,"city, people, country, close, closure, take, control, government, spread, day","['outbreak', 'especially', 'closure', 'city', 'move', 'people', 'wuhan', 'even', 'admirable']"
11,11,1.0,0.5441,"city, people, country, close, closure, take, control, government, spread, day","['first', 'patient', 'appear', 'whistle', 'side_notifie', 'side_notifie', 'reprimand', 'multiple', 'medical', 'infection', 'early', 'inspect', 'discuss', 'announce', 'ban', 'begin', 'call', 'country', 'avoid_impose', 'travel_restriction']"
12,12,1.0,0.5021,"city, people, country, close, closure, take, control, government, spread, day","['tired', 'note', 'development', 'become', 'severe', 'even', 'necessary', 'use', 'measure', 'close', 'city', 'ban', 'foot', 'traffic', 'time', 'ask', 'money', 'ask', 'life', 'single', 'choice', 'word', 'survive', 'economic_activity', 'curtail', 'wave', 'business', 'business', 'failure', 'labor', 'unemployment', 'difficult', 'avoid', 'industry', 'datum', 'track', 'general', 'economic', 'overview']"
13,13,1.0,0.5425,"city, people, country, close, closure, take, control, government, spread, day","['first', 'patient', 'appear', 'whistle', 'side_notifie', 'side_notifie', 'united_state', 'reprimand', 'many', 'medical', 'infection', 'early', 'inspect', 'discuss', 'announce', 'nationwide', 'ban', 'begin', 'call', 'country', 'avoid_impose', 'travel_restriction']"
14,14,1.0,0.874,"city, people, country, close, closure, take, control, government, spread, day","['well', 'control', 'many', 'people', 'infect', 'many', 'die', 'many', 'people', 'go', 'abroad', 'closure', 'city', 'control', 'really', 'good', 'foreign', 'expert', 'come', 'watch', 'reporter', 'foreign', 'medium', 'report', 'freely', 'know', 'virus', 'afraid', 'afraid', 'unknown', 'virus', 'whole', 'take', 'fresh', 'look']"
15,15,1.0,0.8336,"city, people, country, close, closure, take, control, government, spread, day","['able', 'control', 'well', 'tell', 'chinese', 'people', 'strong', 'sense', 'self', 'protection', 'learn', 'closure', 'wuhan', 'many', 'people', 'thousand', 'mile', 'away', 'consciously', 'reduce', 'social', 'activity', 'think', 'buy', 'mask', 'able', 'buy', 'back']"
16,16,1.0,0.5619,"city, people, country, close, closure, take, control, government, spread, day","['first', 'patient', 'appear', 'whistle', 'side_notifie', 'side_notifie', 'reprimand', 'many', 'medical', 'infection', 'early', 'inspect', 'discuss', 'announce', 'begin', 'call', 'country', 'avoid_impose', 'travel_restriction']"
17,17,1.0,0.5688,"city, people, country, close, closure, take, control, government, spread, day","['first', 'patient', 'appear', 'whistle', 'side_notifie', 'side_notifie', 'reprimand', 'many', 'medical', 'infection', 'early', 'inspect', 'discuss', 'announce', 'city', 'nationwide', 'ban', 'begin', 'call', 'country', 'avoid_impose', 'travel_restriction']"
18,18,1.0,0.5441,"city, people, country, close, closure, take, control, government, spread, day","['first', 'patient', 'appear', 'whistle', 'side_notifie', 'side_notifie', 'reprimand', 'multiple', 'medical', 'infection', 'early', 'inspect', 'discuss', 'announce', 'ban', 'begin', 'call', 'country', 'avoid_impose', 'travel_restriction']"
19,19,1.0,0.5572,"city, people, country, close, closure, take, control, government, spread, day","['first', 'first', 'whistle', 'side_notifie', 'side_notifie', 'reprimand', 'multiple', 'medical', 'infection', 'early', 'inspect', 'discuss', 'announce', 'ban', 'begin', 'call', 'country', 'avoid_impose', 'travel_restriction']"
20,20,1.0,0.5441,"city, people, country, close, closure, take, control, government, spread, day","['first', 'patient', 'appear', 'whistle', 'side_notifie', 'side_notifie', 'reprimand', 'multiple', 'medical', 'infection', 'early', 'inspect', 'discuss', 'announce', 'ban', 'begin', 'call', 'country', 'avoid_impose', 'travel_restriction']"
21,21,1.0,0.8423,"city, people, country, close, closure, take, control, government, spread, day","['big', 'terrible', 'consequence', 'closure', 'city', 'victim', 'domestic', 'violence', 'nowhere', 'escape', 'secondary', 'human', 'disaster', 'see', 'horrible', 'report', 'child', 'abuse', 'year']"
22,22,1.0,0.5769,"city, people, country, close, closure, take, control, government, spread, day","['report', 'invent', 'cocktail', 'therapy', 'advocate', 'world', 'imitate', 'style', 'quarantine', 'sit', 'back', 'wait', 'wave', 'occur', 'point', 'maintain', 'social_distance', 'impose', 'strict', 'style', 'quarantine']"
23,23,1.0,0.5153,"city, people, country, close, closure, take, control, government, spread, day","['try', 'shirk', 'responsibility', 'outbreak', 'cause', 'imposition', 'dictatorship', 'press', 'control', 'closure', 'city', 'cause', 'human', 'disaster', 'regardless', 'people', 'live', 'death', 'try', 'portray', 'benefactor', 'entire', 'chinese', 'release', 'information', 'promote', 'international', 'cooperation', 'prevention', 'control', 'publish', 'view', 'observer', 'late', 'authority', 'throwing_pot', 'glorify']"
24,24,1.0,0.84,"city, people, country, close, closure, take, control, government, spread, day","['maybe', 'forget', 'early', 'day', 'world', 'scold', 'right', 'scold', 'force', 'people', 'wear_mask', 'prohibit', 'people', 'go', 'closed', 'city', 'country', 'world', 'follow', 'suit', 'restrict', 'outing', 'directly', 'report', 'grievance', 'mock', 'virtue', 'suffer', 'turn', 'mock', 'right']"
25,25,1.0,0.6709,"city, people, country, close, closure, take, control, government, spread, day","['chinese', 'government', 'especially', 'local', 'government', 'make', 'big', 'mistake', 'early_stage', 'cause', 'hidden', 'risk', 'spread', 'announce', 'announce', 'health', 'emergency', 'attitude', 'western', 'country', 'course', 'month', 'prevent', 'disease', 'happen', 'prepare', 'sufficient', 'prevention', 'material', 'advance', 'instead', 'move', 'chair', 'read', 'chinese', 'joke', 'result', 'busy', 'busy', 'face']"
26,26,1.0,0.7904,"city, people, country, close, closure, take, control, government, spread, day","['take', 'strong', 'measure', 'city', 'closure', 'serious', 'consequence', 'people', 'force', 'stay', 'home', 'ten', 'thousand', 'medical', 'worker', 'volunteer', 'participate', 'fight', 'leishenshan', 'hospital', 'build', 'day', 'ensure', 'cover', 'prevent', 'spread', 'large', 'scale']"
27,27,1.0,0.5903,"city, people, country, close, closure, take, control, government, spread, day","['tell', 'lie', 'time', 'believe', 'domestic', 'medium', 'news', 'other', 'cause', 'rumor', 'hold', 'family_feast', 'closure', 'city', 'leak', 'people', 'flee', 'follow', 'northern', 'people', 'live', 'follow', 'new_york', 'large', 'italian', 'settlement', 'route', 'obvious', 'enough']"
28,28,1.0,0.7488,"city, people, country, close, closure, take, control, government, spread, day","['wait', 'long', 'result', 'hundred', 'thousand', 'medical', 'staff', 'dream', 'people', 'wuhan', 'eagerly', 'look', 'forward', 'long', 'way', 'long', 'country', 'people', 'unite', 'determined', 'enemy', 'overcome', 'hurdle', 'overcome']"
29,29,1.0,0.7577,"city, people, country, close, closure, take, control, government, spread, day","['right', 'hospital', 'first', 'line', 'administration', 'seem', 'support', 'official', 'medium', 'coverage', 'later', 'bite', 'patient', 'hospital', 'lot', 'psychological', 'stress', 'home', 'recent', 'remark', 'quite', 'aggressive', 'negative']"
30,30,1.0,0.7722,"city, people, country, close, closure, take, control, government, spread, day","['netizen', 'directly', 'attack', 'police', 'catch', 'whistleblower', 'major', 'outbreak', 'spread', 'outbreak', 'city', 'closure', 'fangcain_hospital', 'voice', 'hope']"
31,31,1.0,0.7604,"city, people, country, close, closure, take, control, government, spread, day","['learn', 'represent', 'whole', 'controlling', 'depend', 'decision', 'make', 'power', 'indicate', 'risk', 'announce', 'closure', 'city', 'wearing_mask', 'social', 'isolation', 'advance', 'absurd', 'moreover', 'late', 'put', 'place', 'protective', 'measure', 'learn', 'go', 'look', 'learn', 'measure']"
32,32,1.0,0.8507,"city, people, country, close, closure, take, control, government, spread, day","['believe', 'datum', 'release', 'begin', 'break', 'say', 'country', 'poor', 'medical', 'condition', 'occur', 'city', 'say', 'big', 'deal', 'require', 'people', 'wear_mask', 'say', 'right', 'seal', 'people', 'mouth', 'think', 'underreported', 'well', 'prepare', 'result', 'mock']"
33,33,1.0,0.6157,"city, people, country, close, closure, take, control, government, spread, day","['development', 'ridiculous', 'situation', 'followed_suit', 'brain', 'question', 'science', 'technology', 'sincerely', 'recommend', 'go', 'hospital', 'move', 'little', 'take', 'look', 'face', 'cunning', 'virus', 'gentle', 'surface', 'ferocious', 'easy', 'expert', 'easy', 'make', 'decision', 'end', 'make', 'decision', 'carry', 'closure', 'city', 'population', 'never', 'see', 'history', 'exaggeration', 'say', 'face', 'global', 'first', 'wave', 'victory', 'victory']"
34,34,1.0,0.7765,"city, people, country, close, closure, take, control, government, spread, day","['closure', 'people', 'leave', 'apart', 'serious', 'outbreak', 'occur', 'city', 'blame', 'other', 'humanitarian_disaster', 'cause', 'incompetence', 'procrastination', 'wrong', 'method', 'think', 'sue', 'government', 'murder', 'citizen']"
35,35,1.0,0.8508,"city, people, country, close, closure, take, control, government, spread, day","['accord', 'datum', 'release', 'begin', 'break', 'say', 'country', 'poor', 'medical', 'condition', 'occur', 'close', 'city', 'make', 'big', 'require', 'people', 'wear_mask', 'say', 'right', 'seal', 'people', 'mouth', 'think', 'underreported', 'well', 'prepare', 'result', 'mock']"
36,36,1.0,0.7659,"city, people, country, close, closure, take, control, government, spread, day","['health_commission', 'say', 'newly', 'confirmed_case', 'immigrant', 'overseas', 'number', 'import', 'case', 'abroad', 'day', 'currently', 'total', 'number', 'import', 'confirmed_case', 'meanwhile', 'report', 'new', 'confirmed_case', 'day', 'authority', 'plan', 'allow', 'citizen', 'leave', 'first', 'time', 'authority', 'close', 'city', 'spread']"
37,37,1.0,0.7882,"city, people, country, close, closure, take, control, government, spread, day","['day', 'say', 'equal', 'exceed', 'infect', 'people', 'world', 'month', 'artificial', 'blocking', 'however', 'intensity', 'blockade', 'varie', 'gradually', 'shrink', 'even', 'point', 'currently', 'double', 'digit', 'growth', 'therefore', 'block', 'transmission', 'chain', 'key', 'control', 'similarly', 'use', 'model', 'infer', 'early', 'outbreak', 'reasonable', 'infer', 'situation', 'closure', 'city', 'nonsense', 'think', 'false', 'reach', 'level']"
38,38,1.0,0.6992,"city, people, country, close, closure, take, control, government, spread, day","['system', 'really', 'effective', 'enough', 'case', 'instant', 'reason', 'new', 'virus', 'spread', 'case', 'really', 'low', 'ranking', 'first', 'tier', 'city', 'reason', 'close', 'city', 'original', 'prevention', 'system', 'improve', 'enough', 'control', 'case', 'mortality_rate', 'billion', 'people']"
39,39,1.0,0.7098,"city, people, country, close, closure, take, control, government, spread, day","['serious', 'close', 'city', 'country', 'datum', 'update', 'news', 'broadcast', 'read', 'say', 'influenza', 'beginning']"
40,40,1.0,0.7586,"city, people, country, close, closure, take, control, government, spread, day","['state', 'emergency', 'announce', 'japanese', 'prime_minister', 'today', 'even', 'close', 'hurry']"
41,41,1.0,0.8682,"city, people, country, close, closure, take, control, government, spread, day","['western', 'medium', 'perform', 'well', 'beginning', 'say', 'recently', 'say', 'conceal', 'number', 'case', 'close', 'city', 'violates_human', 'right', 'example', 'initially', 'method', 'want', 'use', 'mass_immunization', 'attack', 'even', 'continue', 'spread', 'world', 'leave', 'fundamental', 'reason', 'right', 'ideology', 'competition']"
42,42,1.0,0.7253,"city, people, country, close, closure, take, control, government, spread, day","['roosevelt', 'leave', 'document', 'say', 'people', 'influenza', 'voyage', 'beauty', 'kit', 'enough', 'say', 'close', 'yet', 'know', 'order', 'people', 'rely', 'ship', 'recruit', 'pilot', 'conceal', 'board', 'put', 'pressure', 'crew', 'crew', 'go', 'strike', 'point', 'want', 'use', 'military', 'police', 'already', 'sign', 'crime']"
43,43,1.0,0.8545,"city, people, country, close, closure, take, control, government, spread, day","['pneumonia', 'look', 'city', 'closure', 'traffic', 'flow', 'world', 'chart', 'face', 'novel', 'pneumonia', 'country', 'successively', 'introduce', 'number', 'measure', 'restrict', 'public', 'activity', 'prevent', 'spread', 'virus', 'outbreak', 'first', 'begin', 'slowly', 'spread', 'european', 'american', 'country', 'number', 'confirmed_case', 'place', 'surpass', 'many', 'local', 'government']"
44,44,1.0,0.8372,"city, people, country, close, closure, take, control, government, spread, day","['twofold', 'laugh', 'low', 'level', 'hygiene', 'severe', 'see', 'closure', 'city', 'human_right', 'panic', 'look', 'turn', 'infectivity', 'virus', 'ignore', 'closure', 'city', 'reliable', 'practice', 'know', 'far', 'major', 'outbreak', 'occur', 'country', 'world', 'follow', 'example', 'talk', 'block', 'leprosy', 'patient']"
