,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,1.0,0.5028,"closure, city, control, due, time, day, year, lot, outbreak, next","['announce', 'complete', 'restart', 'citizen', 'mixed', 'feeling', 'mix', 'large', 'city', 'announce', 'restart', 'block', 'two_month', 'due', 'fence', 'barrier', 'residential', 'area', 'begin', 'remove', 'public', 'transportation', 'resume', 'government', 'call', 'enterprise', 'resume', 'work', 'resume_production', 'order', 'revive', 'economy', 'many', 'resident', 'first', 'time', 'two_month', 'first', 'thing', 'cut', 'hair']"
1,1,2.0,0.4196,"prevention, party, say, situation, current, policy, talk, closure, government, bad","['conference', 'prevention', 'control', 'relevant_leader', 'closure', 'city', 'claim', 'say', 'never', 'announce', 'blockade', 'unblocking', 'term', 'unblock', 'use', 'entire', 'area', 'press', 'pause_button', 'core', 'function', 'city', 'remain', 'operation', 'period']"
2,2,0.0,0.3675,"people, city, close, many, country, money, know, go, live, food","['voluntary', 'quarantine', 'rather', 'stop', 'official', 'act', 'central_government', 'order', 'mandatory', 'quarantine', 'official', 'change', 'blood', 'big', 'way', 'always', 'thing', 'position', 'way']"
3,3,0.0,0.3941,"people, city, close, many, country, money, know, go, live, food","['really', 'close', 'style', 'prevention']"
4,4,1.0,0.589,"closure, city, control, due, time, day, year, lot, outbreak, next","['never', 'announce', 'closure', 'thing', 'lift', 'blockade', 'resident', 'lock', 'home', 'spontaneous', 'act', 'neighborhood_committee', 'village', 'committee', 'next', 'fun', 'retaliatory', 'spending', 'retaliation', 'neighborhood', 'village', 'council', 'good', 'evil', 'reward', 'end', 'day', 'evil', 'yesterday', 'soon', 'doubly', 'liquidate', 'transcendental', 'dynamic', 'elimination', 'policy']"
5,5,1.0,0.692,"closure, city, control, due, time, day, year, lot, outbreak, next","['come', 'end', 'begin', 'disaster', 'chaos', 'today', 'end', 'day', 'effective', 'vaccine', 'open', 'lying_flat', 'clearing', 'change', 'end', 'result', 'distort', 'process', 'lead', 'outcome', 'today', 'ongoing', 'disaster', 'protect', 'face', 'refuse', 'introduce', 'effective', 'vaccine']"
6,6,1.0,0.692,"closure, city, control, due, time, day, year, lot, outbreak, next","['come', 'end', 'begin', 'disaster', 'chaos', 'today', 'end', 'day', 'effective', 'vaccine', 'open', 'lying_flat', 'clearing', 'change', 'end', 'result', 'distort', 'process', 'lead', 'outcome', 'today', 'ongoing', 'disaster', 'protect', 'face', 'refuse', 'introduce', 'effective', 'vaccine']"
7,7,2.0,0.3371,"prevention, party, say, situation, current, policy, talk, closure, government, bad","['say', 'win', 'lockdown', 'people', 'automatic', 'overcome']"
8,8,0.0,0.4736,"people, city, close, many, country, money, know, go, live, food","['say', 'prevention', 'affect', 'foreign', 'people', 'prevention', 'disaster', 'chinese', 'people', 'lying_flat', 'unreliable', 'ban', 'flat', 'unreliable', 'salt', 'flat', 'reliable', 'method', 'salt', 'saliva', 'close', 'city', 'complete', 'test', 'blind', 'purge', 'blunder', 'deflation', 'method', 'right', 'path', 'law', 'investigate', 'violent', 'closure', 'city', 'doctor', 'use', 'salt', 'water', 'treat', 'sequelae', 'salt', 'water', 'early', 'salt', 'interventional', 'method', 'saliva', 'salt', 'prevent', 'throat', 'poison']"
9,9,0.0,0.6272,"people, city, close, many, country, money, know, go, live, food","['people', 'say', 'good', 'see', 'much', 'money', 'spend', 'nucleic_acid', 'test', 'vaccination', 'city', 'closure', 'trillion', 'count', 'gdp', 'figure', 'look', 'number', 'definitely', 'economic_development', 'debt', 'bear', 'people']"
