,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,3.0,0.7261,"lockdown, covid, coronavirus, city, people, ncov, quarantine, outbreak, day, now","['home', 'place', 'lockdown', 'covid']"
1,1,3.0,0.6731,"lockdown, covid, coronavirus, city, people, ncov, quarantine, outbreak, day, now","['know', 'rush', 'child', 'hear', 'put', 'hospital', 'lockdown', 'positive', 'covid', 'test', 'make', 'news']"
2,2,2.0,0.5523,"case, lockdown, day, covid, people, new, life, report, coronavirus, first","['here', 'coronavirus', 'situation', 'look', 'week', 'later', 'early', 'lockdown', 'prevent', 'covid', 'far', 'spread', 'expert', 'appreciate', 'hear', 'thought', 'coviditaly']"
3,3,2.0,0.4375,"case, lockdown, day, covid, people, new, life, report, coronavirus, first","['tourist', 'stay', 'tenerife', 'hotel', 'lockdown', 'case', 'coronavirus', 'detect', 'free', 'leave', 'test', 'negative', 'virus', 'health', 'authority']"
4,4,1.0,0.4735,"chinese, start, official, see, safe, all, include, run, million, let","['don', 'clue', 'only', 'thing', 'see', 'take', 'draconic', 'measure', 'even', 'weld', 'own', 'people', 'put', 'almost', 'million', 'quarantaine', 'order', 'incinerator', 'don', 'know', 'deal', 'lockdown', 'far', 'notice', 'cautious', 'covid']"
5,5,2.0,0.686,"case, lockdown, day, covid, people, new, life, report, coronavirus, first","['reduce', 'risk', 'get', 'covid', 'coronavirus', 'self', 'isolating', 'there', 'vaccine', 'month', 'so', 'prepare', 'potentially', 'very', 'long', 'lockdown', 'rather', 'feel', 'fear', 'feel', 'interesting', 'fun', 'problem', 'solve', 'solve']"
6,6,2.0,0.51,"case, lockdown, day, covid, people, new, life, report, coronavirus, first","['break', 'health', 'confirm', 'new', 'case', 'coronavirus', 'announce', 'first', 'know', 'case', 'spread', 'world', 'already', 'stock', 'food', 'period', 'lockdown', 'coronavirus', 'covid']"
7,7,2.0,0.7206,"case, lockdown, day, covid, people, new, life, report, coronavirus, first","['normally', 'brexit', 'brit', 'bash', 'do', 'well', 'job', 'so', 'far', 've', 'test', 'only', 'test', 'hospital', 'lockdown', 'hadn', 'bother', 'test', 'patient', 'do']"
8,8,2.0,0.474,"case, lockdown, day, covid, people, new, life, report, coronavirus, first","['hit', 'football', 'world', 'lockdown', 'three_player', 'test_positive', 'coronavirus']"
9,9,1.0,0.5029,"chinese, start, official, see, safe, all, include, run, million, let","['potential', 'last', 'supper', 'include', 'fresh', 'veg', 'covid', 'lockdown', 'fear', 'follower', 'only', 'have', 'sausage', 'eat', 'dish']"
10,10,3.0,0.7822,"lockdown, covid, coronavirus, city, people, ncov, quarantine, outbreak, day, now","['so', 'work', 'government', 'talk', 'put', 'city', 'lockdown', 'covid', 'get', 'too', 'bad']"
