,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0.0,0.5932,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home","['partner', 'get', 'axidraw', 'shortly', 'crush', 'great', 'people', 'ask', 'lockdown', 'say', 'spend', 'day', 'plot']"
1,1,0.0,0.4586,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home","['let', 'ask', 'more', 'close', 'masse', 'oga', 'acct', 'send', 'mill', 'get', 'reason', 'covid', 'lockdown']"
2,2,0.0,0.6647,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home","['lockdown', 'all', 'end', 'mental', 'alcoholic', 'coronavirus', 'covid']"
3,3,0.0,0.5849,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home","['wilayah', 'covid']"
4,4,0.0,0.6262,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home","['people', 'worldwide', 'lockdown', 'limit', 'spread', 'coronavirus', 'represent', 'total', 'world', 'population', 'covid']"
5,5,3.0,0.4685,"right_now, indian, need, help, only, say, total, virus, more, week","['wuhan_resident', 'estimate_base', 'calculation', 'cremation', 'urn', 'now', 'being_returne', 'family', 'between_die', 'city_surrounde', 'area', 'month', 'lockdown', 'far', 'more', 'official_figure', 'death', 'covid']"
6,6,0.0,0.451,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home","['top', 'priority', 'end', 'covid', 'lockdown', 'resume', 'seminormal', 'life', 'build', 'sentinel', 'surveillance', 'system', 'disease', 'track', 'rapid', 'reliable', 'free', 'testing', 'detect', 'case', 'serology', 'antibody', 'test', 'identify', 'immunity']"
7,7,0.0,0.4423,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home","['let', 'hope', 'wipe', 'airport', 'hapless', 'attacker', 'smash', 'car', 'virtually', 'empty', 'terminal', 'lockdown', 'sun']"
8,8,0.0,0.4541,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home","['join', 'live', 'tomorrow', 'fun', 'free', 'info', 'eat', 'shrink', 'amp', 'merry', 'lockdown', 'start', 'weekday', 'time', 'e', 'join', 'click', 'health', 'weightloss', 'mindfulness', 'covid']"
9,9,0.0,0.5396,"covid, lockdown, first, tune, coronavirus, day, people, time, go, home",['covidlockdown']
