Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
100% Corpus,2,0.01,0.01,0.4793451557779081,-38.453258330189115
100% Corpus,2,0.01,0.31,0.3173418330836528,-6.96707043567234
100% Corpus,2,0.01,0.61,0.37296965663075743,-6.813586261863778
100% Corpus,2,0.01,0.9099999999999999,0.38797923653163685,-6.898836111544746
100% Corpus,2,0.01,symmetric,0.3767620866725507,-6.86406533479684
100% Corpus,2,0.31,0.01,0.450451536088458,-37.88107033007621
100% Corpus,2,0.31,0.31,0.3879792365316369,-6.974023761620792
100% Corpus,2,0.31,0.61,0.37296965663075743,-6.9227294079341135
100% Corpus,2,0.31,0.9099999999999999,0.3469613574262659,-6.886766189034277
100% Corpus,2,0.31,symmetric,0.3879792365316369,-6.895377386235862
100% Corpus,2,0.61,0.01,0.4325662470289411,-37.61960924201912
100% Corpus,2,0.61,0.31,0.3936306263408315,-6.94752519078845
100% Corpus,2,0.61,0.61,0.4221899150748891,-6.934432095967682
100% Corpus,2,0.61,0.9099999999999999,0.40246966248688,-6.902080726529873
100% Corpus,2,0.61,symmetric,0.40419956246897215,-6.905258605832285
100% Corpus,2,0.9099999999999999,0.01,0.42546427457486397,-38.36894935574662
100% Corpus,2,0.9099999999999999,0.31,0.39522919268331336,-6.993763719185963
100% Corpus,2,0.9099999999999999,0.61,0.4032670558843083,-6.935423210718524
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3854164468620903,-6.936201070737818
100% Corpus,2,0.9099999999999999,symmetric,0.3834523341602458,-6.943657213473763
100% Corpus,2,symmetric,0.01,0.4666819405383774,-37.48114960278056
100% Corpus,2,symmetric,0.31,0.38944950573478326,-6.987672619471373
100% Corpus,2,symmetric,0.61,0.4024696624868801,-6.883097371627493
100% Corpus,2,symmetric,0.9099999999999999,0.3889748331342593,-6.889338852562939
100% Corpus,2,symmetric,symmetric,0.37979206459968756,-6.891635578811073
100% Corpus,2,asymmetric,0.01,0.473023695690022,-37.64717360718235
100% Corpus,2,asymmetric,0.31,0.3794909395550006,-6.969635149581112
100% Corpus,2,asymmetric,0.61,0.38564535124177585,-6.925841406667899
100% Corpus,2,asymmetric,0.9099999999999999,0.40554437637122,-6.919385174574567
100% Corpus,2,asymmetric,symmetric,0.38564535124177585,-6.9250284237306845
100% Corpus,3,0.01,0.01,0.4387690796719874,-39.290097009784
100% Corpus,3,0.01,0.31,0.43480403367927883,-6.7486671222067836
100% Corpus,3,0.01,0.61,0.38705396544141196,-6.747100525723347
100% Corpus,3,0.01,0.9099999999999999,0.3893158228437181,-6.769881511776616
100% Corpus,3,0.01,symmetric,0.4235604230506523,-6.74843775664167
100% Corpus,3,0.31,0.01,0.4393701913900639,-37.50183550991059
100% Corpus,3,0.31,0.31,0.43502838029427043,-6.941252512123343
100% Corpus,3,0.31,0.61,0.38390124545000615,-6.892261949009933
100% Corpus,3,0.31,0.9099999999999999,0.3778044708285781,-6.912997510233931
100% Corpus,3,0.31,symmetric,0.410975195232499,-6.9274996913851625
100% Corpus,3,0.61,0.01,0.48270578011378573,-37.99044708651175
100% Corpus,3,0.61,0.31,0.4065578697918666,-6.972546838934004
100% Corpus,3,0.61,0.61,0.39266263370456267,-6.936170711634748
100% Corpus,3,0.61,0.9099999999999999,0.39002353478491,-6.966390362866978
100% Corpus,3,0.61,symmetric,0.40655786979186653,-6.962894735983071
100% Corpus,3,0.9099999999999999,0.01,0.4187519466339777,-38.43105099242427
100% Corpus,3,0.9099999999999999,0.31,0.4201871520954715,-7.02598193819506
100% Corpus,3,0.9099999999999999,0.61,0.42990057780239366,-6.9694856391907
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4224993168001476,-7.013446396046703
100% Corpus,3,0.9099999999999999,symmetric,0.43619123175158453,-7.018166072338774
100% Corpus,3,symmetric,0.01,0.46353003317725866,-37.22209384384295
100% Corpus,3,symmetric,0.31,0.3953320969160592,-6.93868040608655
100% Corpus,3,symmetric,0.61,0.4009485165168551,-6.892506388433109
100% Corpus,3,symmetric,0.9099999999999999,0.38229398447663937,-6.923613526741175
100% Corpus,3,symmetric,symmetric,0.3953320969160592,-6.920593917635403
100% Corpus,3,asymmetric,0.01,0.4473294566473112,-37.70396457770514
100% Corpus,3,asymmetric,0.31,0.4189157025572272,-6.839385657612074
100% Corpus,3,asymmetric,0.61,0.43154856613177417,-6.9224958915660615
100% Corpus,3,asymmetric,0.9099999999999999,0.37162019673974905,-6.828001195039127
100% Corpus,3,asymmetric,symmetric,0.38686385073263474,-6.95986957881689
100% Corpus,4,0.01,0.01,0.44206778634237265,-44.48945933220447
100% Corpus,4,0.01,0.31,0.39724317636229134,-6.922943075501454
100% Corpus,4,0.01,0.61,0.3916627310947605,-6.866189265045907
100% Corpus,4,0.01,0.9099999999999999,0.34359881589048186,-6.915701339743144
100% Corpus,4,0.01,symmetric,0.4249766434720055,-7.036023565455978
100% Corpus,4,0.31,0.01,0.42311647025473165,-41.11535779098493
100% Corpus,4,0.31,0.31,0.3898776614183586,-6.921564380125578
100% Corpus,4,0.31,0.61,0.3497837201691824,-6.910735987556021
100% Corpus,4,0.31,0.9099999999999999,0.36400304731984756,-6.949997320042675
100% Corpus,4,0.31,symmetric,0.4019575904424056,-6.967488785208454
100% Corpus,4,0.61,0.01,0.4868683824431054,-41.39654247623344
100% Corpus,4,0.61,0.31,0.4364830016628406,-6.954568897144573
100% Corpus,4,0.61,0.61,0.41168937460869837,-6.9271018061006195
100% Corpus,4,0.61,0.9099999999999999,0.4110870347291713,-7.017439729675479
100% Corpus,4,0.61,symmetric,0.46088300565813206,-6.988526238299405
100% Corpus,4,0.9099999999999999,0.01,0.4794344020536336,-41.83217913568328
100% Corpus,4,0.9099999999999999,0.31,0.43242151323482303,-6.989379214788413
100% Corpus,4,0.9099999999999999,0.61,0.4231233883389631,-6.941043915379718
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3970095457435085,-6.987104410736443
100% Corpus,4,0.9099999999999999,symmetric,0.44375351488128756,-7.002866067835458
100% Corpus,4,symmetric,0.01,0.4521000376522266,-41.13332343161276
100% Corpus,4,symmetric,0.31,0.3752461130528142,-6.922044450658836
100% Corpus,4,symmetric,0.61,0.3694655382224158,-6.888792471741651
100% Corpus,4,symmetric,0.9099999999999999,0.364508307894517,-6.936010089965143
100% Corpus,4,symmetric,symmetric,0.40192020239999393,-6.968443520421658
100% Corpus,4,asymmetric,0.01,0.46921749384818234,-41.08005861694595
100% Corpus,4,asymmetric,0.31,0.42213592367516434,-6.952665640410998
100% Corpus,4,asymmetric,0.61,0.38938124772099925,-6.806434715138303
100% Corpus,4,asymmetric,0.9099999999999999,0.41824248366507605,-6.783470174973805
100% Corpus,4,asymmetric,symmetric,0.43456411299039477,-6.846672203684184
100% Corpus,5,0.01,0.01,0.42682582758825427,-44.44177882465121
100% Corpus,5,0.01,0.31,0.4420950195595276,-6.745764809805126
100% Corpus,5,0.01,0.61,0.34260745659260616,-6.62668590715642
100% Corpus,5,0.01,0.9099999999999999,0.3811589852879125,-6.784198820546288
100% Corpus,5,0.01,symmetric,0.423812785569167,-7.054427034989384
100% Corpus,5,0.31,0.01,0.46117828312351705,-40.97572841466264
100% Corpus,5,0.31,0.31,0.39208599554755513,-6.841877774023464
100% Corpus,5,0.31,0.61,0.3936493811306359,-6.677387282080634
100% Corpus,5,0.31,0.9099999999999999,0.3897333964464118,-6.9053599956137495
100% Corpus,5,0.31,symmetric,0.420290222693542,-7.003045223043753
100% Corpus,5,0.61,0.01,0.41114718066606865,-41.206984853888365
100% Corpus,5,0.61,0.31,0.43238378433574054,-6.923177344818796
100% Corpus,5,0.61,0.61,0.43369842893585303,-6.914840473148163
100% Corpus,5,0.61,0.9099999999999999,0.4386834045344813,-6.953635348431115
100% Corpus,5,0.61,symmetric,0.486531288582906,-6.990889903053639
100% Corpus,5,0.9099999999999999,0.01,0.4524412244430643,-41.607364194084376
100% Corpus,5,0.9099999999999999,0.31,0.41144419381855657,-6.978881663587816
100% Corpus,5,0.9099999999999999,0.61,0.462135565638329,-6.959519425902118
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.39408723177227156,-7.060113264675067
100% Corpus,5,0.9099999999999999,symmetric,0.4261168215767962,-7.04105940841416
100% Corpus,5,symmetric,0.01,0.44997278233025034,-40.96486128058823
100% Corpus,5,symmetric,0.31,0.3989055843652676,-6.89790720436978
100% Corpus,5,symmetric,0.61,0.3823069551552822,-6.84187507105402
100% Corpus,5,symmetric,0.9099999999999999,0.3964743057711216,-6.87620817213875
100% Corpus,5,symmetric,symmetric,0.4362727270837188,-6.9805060438346285
100% Corpus,5,asymmetric,0.01,0.453184591362582,-41.003619894802675
100% Corpus,5,asymmetric,0.31,0.37335493822049626,-6.891008261923798
100% Corpus,5,asymmetric,0.61,0.3906309594557623,-6.779980190658614
100% Corpus,5,asymmetric,0.9099999999999999,0.3585532764421185,-6.789107082655579
100% Corpus,5,asymmetric,symmetric,0.47156234750775283,-7.020570769799026
100% Corpus,6,0.01,0.01,0.4906087529587393,-44.302440650950054
100% Corpus,6,0.01,0.31,0.39862920748478414,-6.841681065955315
100% Corpus,6,0.01,0.61,0.3871336861046863,-6.715652686665594
100% Corpus,6,0.01,0.9099999999999999,0.34366672463396863,-6.765749706449094
100% Corpus,6,0.01,symmetric,0.4791402467859749,-7.206485530637928
100% Corpus,6,0.31,0.01,0.43225606032603187,-40.96136161345329
100% Corpus,6,0.31,0.31,0.4356670947613659,-6.801335823986626
100% Corpus,6,0.31,0.61,0.4138099639093882,-6.830240120810567
100% Corpus,6,0.31,0.9099999999999999,0.38228467184947407,-6.894772217036232
100% Corpus,6,0.31,symmetric,0.46776215238655044,-6.986979227721152
100% Corpus,6,0.61,0.01,0.46959800461331414,-41.54850455222385
100% Corpus,6,0.61,0.31,0.39892161598957093,-6.959434545735967
100% Corpus,6,0.61,0.61,0.3854144127526402,-6.969699550473831
100% Corpus,6,0.61,0.9099999999999999,0.38674440597054094,-6.981814954495059
100% Corpus,6,0.61,symmetric,0.4178481143426287,-6.998536060070512
100% Corpus,6,0.9099999999999999,0.01,0.45223756152141065,-41.93207863990565
100% Corpus,6,0.9099999999999999,0.31,0.3603490871683756,-7.059146331785366
100% Corpus,6,0.9099999999999999,0.61,0.38454393904524636,-7.032879544168589
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.37528357134247536,-7.060975571106905
100% Corpus,6,0.9099999999999999,symmetric,0.4303739762721712,-7.052115869208132
100% Corpus,6,symmetric,0.01,0.45405850780403095,-41.04504301832442
100% Corpus,6,symmetric,0.31,0.4468851535996899,-6.821026863217058
100% Corpus,6,symmetric,0.61,0.4121230506517177,-6.762275354849158
100% Corpus,6,symmetric,0.9099999999999999,0.421948155729204,-6.852279399153626
100% Corpus,6,symmetric,symmetric,0.4675294222104724,-6.9982375857646275
100% Corpus,6,asymmetric,0.01,0.43474625678518186,-40.91998112863415
100% Corpus,6,asymmetric,0.31,0.41175050416149755,-6.856861905249739
100% Corpus,6,asymmetric,0.61,0.4217429492796671,-6.793754200211017
100% Corpus,6,asymmetric,0.9099999999999999,0.39048625419031185,-6.952761514658433
100% Corpus,6,asymmetric,symmetric,0.4819415832305356,-7.082230987271487
100% Corpus,7,0.01,0.01,0.431618940345815,-44.523630851171276
100% Corpus,7,0.01,0.31,0.3594281287067144,-6.818751300494008
100% Corpus,7,0.01,0.61,0.3498202285878353,-6.7350343258754535
100% Corpus,7,0.01,0.9099999999999999,0.35392004848421793,-6.702185912683755
100% Corpus,7,0.01,symmetric,0.45490714297454454,-7.196511965914061
100% Corpus,7,0.31,0.01,0.4522883456367128,-40.900631742271315
100% Corpus,7,0.31,0.31,0.413435676478779,-6.901043133283993
100% Corpus,7,0.31,0.61,0.373516784545075,-6.904186743386149
100% Corpus,7,0.31,0.9099999999999999,0.37708879603662604,-6.985015699647251
100% Corpus,7,0.31,symmetric,0.4490072647345997,-7.021989967631641
100% Corpus,7,0.61,0.01,0.45358890301615495,-41.701775571951536
100% Corpus,7,0.61,0.31,0.42471637135993745,-6.95750221136544
100% Corpus,7,0.61,0.61,0.36991113278393783,-7.06846781125526
