id,bid,text,time,author,repost_count,comment_count,attitudes_count,text_lemme,top_emotion,top_emotion_score,second_emotion,second_emotion_score,third_emotion,third_emotion_score
4.87E+15,MsQzQp5a7,"During the closure of the epidemic , community in and to issue exit for dialysis . They had a bad attitude and the public . Also known as : You love death or death .      s video",2/13/2023 18:37,朱朱文强,102,4,81,closure epidemic community issue exit dialysis bad attitude public known love death death s video,sadness,0.671477497,neutral,0.204917207,disappointment,0.067654468
4.86E+15,MqFjL2xx7,"After the epidemic prevention policy was , the epidemic in China quickly peaked , causing everyone to be in a bit of a trance now . It like the outbreak of the epidemic two ago was like a dream . Also , the second and third that everyone feared did not occur . This that there is an absolute scientific basis for the country  s adjustment of epidemic prevention . Just like the decisive closure of and at the beginning , they are all based on science . In less than two , everything was back to normal . The people who were at the beginning were all ... full text",1/30/2023 10:16,旗扬时事,6,98,401,epidemic prevention policy epidemic china quickly peaked causing bit trance like outbreak epidemic ago like dream second feared occur absolute scientific basis country s adjustment epidemic prevention like decisive closure beginning based science normal people beginning text,approval,0.957570612,optimism,0.016082028,neutral,0.014946988
4.87E+15,MtOb2tKJo,"Last year  s summer vacation was by the closure of the city due to the epidemic and then winter vacation . In total , I haven  t been to work seriously for more than half a year . When I finally start work tomorrow , what to me , I can  t sleep ? Is that something to be excited about too ?",2/20/2023 2:20,炎铃_想冬眠,0,2,37,year s summer vacation closure city epidemic winter vacation total haven t work seriously half year finally start work tomorrow t sleep excited,nervousness,0.988526583,excitement,0.002882045,neutral,0.002185685
4.89E+15,MA0k6wFTw,"Maybe I can  t share the plight of 22 with the pandemic , the closure of the city , the , the closed loop , a few of , my life alone . I received news about the breakup and the person you  re dealing with . I  t understand your approach . Later , , I saw clearly . I told myself over and over again that alcohol was a friend or family member , it was a family incident , and it was all of a sudden that was me . Just like now , when it  s a huge transformation , I  m sometimes unclear and skeptical ; I still don  t understand and ... full text",4/1/2023 20:17,用户6855332758,0,0,0,maybe t share plight 22 pandemic closure city closed loop life received news breakup person dealing t understand approach later saw clearly told alcohol friend family member family incident sudden like s huge transformation m unclear skeptical t understand text,realization,0.884435654,neutral,0.10686741,confusion,0.002482071
4.89E+15,MA0jumjVF,"[ Self -  A Lonely Person  s Profile : ( by ), who broke up with her during the closure of the city due to the pandemic , accidentally met ( by Arjun Das ) ( by Arjun Das ), who lost her friend and was in pain , in two different video . Through many , the two received strength to support each other . Ah  s video song and dance",4/1/2023 20:16,翻译印度歌舞视频的阿水,2,0,2,self lonely person s profile broke closure city pandemic accidentally met arjun da arjun da lost friend pain different video received strength support ah s video song dance,disappointment,0.781255841,sadness,0.188626006,neutral,0.015927618
4.89E+15,MzZyiu3Lt,The sequelae of the closure of due to the epidemic - I don  t know what clothes to wear other than when going out,4/1/2023 18:20,涛涛涛_1758Shero_DaDisco,0,0,0,sequela closure epidemic t know clothes wear going,realization,0.843034387,neutral,0.139135912,confusion,0.006028979
4.89E+15,MzZ2p25lk,"A short note on drinking tea today . “ Out of Chaos ” I went to a friend  s tea room to drink tea in the afternoon , and by the way , brought my camera 📷 and took some of her . We met during the closure of the city due to the epidemic last year . Everyone was very anxious and very painful . It  s been a long time since we  seen it , but now we  re all learning to reinvent ourselves , relieve our , and have become more relaxed . There are people who always work hard to do a good job , but they also need to take care of their hearts . There was a time when she felt like she was being ... full story",4/1/2023 17:01,闽南小吃货,0,1,5,short note drinking tea today â€œ chaos â€ went friend s tea room drink tea afternoon way brought camera ðŸ“· took met closure city epidemic year anxious painful s long time seen learning reinvent relieve relaxed people work hard good job need care heart time felt like story,approval,0.943509698,neutral,0.02455673,caring,0.014512016
4.89E+15,MzYKO5LnS,The  were all bought out of boredom during the closure of due to the pandemic 🐱,4/1/2023 16:18,付尔摩斯-,0,2,1,bought boredom closure pandemic ðŸ±,sadness,0.900156498,neutral,0.090191364,approval,0.002295363
4.89E+15,MzWQl32d2,"Although the family structure is similar , the attitude is completely different . The people in my family who have closed down the city due to the pandemic have not even said a word of greeting .",4/1/2023 11:26,馋秋刀鱼的猫,0,0,0,family structure similar attitude completely different people family closed city pandemic said word greeting,neutral,0.710084796,realization,0.174446598,disapproval,0.066678271
4.89E+15,MzWHWoyJb,"Let me just say here again . I haven  t seen any credit for COVID - 19 ; apart from daring to say that it spread from person to person , causing panic , more than 5 million people ran out before the closure of the city , which led to the spread of the epidemic . Although treatment was involved in COVID - 19 , Western medicine and Western medicine had no specific medicine , it was just their and fooling the public ! It actually  t work at all ; some treatment are harmful ! “ Academician  s latest speech at a medicine seminar !” Links to web",4/1/2023 11:05,#NAME?,0,0,0,let haven t seen credit covid 19 apart daring spread person person causing panic 5 million people ran closure city led spread epidemic treatment involved covid 19 western medicine western medicine specific medicine fooling public ! actually t work treatment harmful ! â€œ academician s latest speech medicine seminar ! â€ link web,sadness,0.701858461,fear,0.173054934,neutral,0.052539915
4.89E+15,MzW14phCD,"  ， ( You forgot about it when the pandemic closed down the city and food before , right ?) I  m not sure , what  s wrong with the car body getting mud ? Nor did affect the road surface after walking with mud !",4/1/2023 9:19,用户7206491324,0,1,6,ï¼Œ forgot pandemic closed city food right m sure s wrong car body getting mud affect road surface walking mud !,disapproval,0.64168328,realization,0.14505817,neutral,0.098392829
4.89E+15,MzVk83xFq,"I  m very happy every time I go to work on a motorcycle on the weekend , because I feel that the road is smooth and then I suddenly remember that it  s because other people don  t go to work on the weekend and are suddenly unhappy ( the most enjoyable time to ride a motorcycle was when the city was closed due to the pandemic , only 🏥 had to go to work )",4/1/2023 7:34,lok666caco,0,2,0,m happy time work motorcycle weekend feel road smooth suddenly remember s people t work weekend suddenly unhappy enjoyable time ride motorcycle city closed pandemic ðŸ¥ work,approval,0.982596934,joy,0.004420303,neutral,0.003607543
4.89E+15,MzUCUrCk0,"The best time to practice was probably in of last year . I do twice a day , once in the morning and once in the evening , and commute to work in the evening to train strength for over an hour . I was really at the time . I went out for a run after 5 in the morning , but I was also nervous . My was high , and my body was in an unhealthy state . I caught a severe cold once in , and after the pandemic closed down the city , the frequency of fitness was not that high . I  m thinking , do I want a low body fat or a healthy body ... full story",4/1/2023 5:47,拿铁的奶油小老虎,0,3,0,best time practice probably year twice day morning evening commute work evening train strength hour time went run 5 morning nervous high body unhealthy state caught severe cold pandemic closed city frequency fitness high m thinking want low body fat healthy body story,approval,0.556122124,neutral,0.389571935,admiration,0.039780144
4.89E+15,MzSSihpnM,"It  s like about this time last year , I was still in the middle of my bedroom , World War , and the confusion of work . A few deep : and ; and moving ; and  s graduation trip to , waking up all over the place and crying silently on the high - speed rail ; sneaking around and making noise on the high - speed rail ; the fear of the closure of the city in ; the fear of the closure of the city in ; the fear of the closure of the city in ; the fear of the closure of the city in , knowing that the young sister from the house next door together every day , and food and from her aunt on the opposite side ; for the exam in ... full text",4/1/2023 1:20,#NAME?,0,2,1,s like time year middle bedroom world war confusion work deep moving s graduation trip waking place cry silently high speed rail sneaking making noise high speed rail fear closure city fear closure city fear closure city fear closure city knowing young sister house door day food aunt opposite exam text,confusion,0.730421841,neutral,0.227269486,fear,0.020069055
4.89E+15,MzSbragRd,"Today I  m still lamenting with my good , , I was nervous for acid at this time last year , , I had no idea that tomorrow would close the city silently or even stay sealed for that long . What last year was experienced in a blink of an eye , a year , and the “ epidemic ” history and a thing of the past .",3/31/2023 23:34,库里的甜儿,0,0,1,today m lamenting good nervous acid time year idea tomorrow close city silently stay sealed long year experienced blink eye year â€œ epidemic â€ history thing past,fear,0.788019836,neutral,0.061712079,nervousness,0.052820336
4.89E+15,MzSaMDZP4,"Since the closure of the city from the epidemic in , I took a break for 4 days (🐑 2 days off , 2 days off for the New Year ), and finally got back to work . I hope I can sleep until 10 o  clock tomorrow and wake up naturally . Let  s not wake up with my biological clock in",3/31/2023 23:32,今年想做欧洲人,0,2,0,closure city epidemic took break 4 day ðŸ‘ 2 day 2 day new year finally got work hope sleep 10 o clock tomorrow wake naturally let s wake biological clock,disappointment,0.390750825,neutral,0.297367066,optimism,0.14398928
4.89E+15,MzS8e2QYf,"I a game yesterday . Once a week before the closure of the city last year , after more than half a year , my body fat 3 . 9 %. Then I was interrupted again by the epidemic , and I haven  t again in almost a year . At last , I once again experienced the joy of running , , and waving after a long absence . I hope it , once a week .",3/31/2023 23:26,Nirvana__Forever,0,0,1,game yesterday week closure city year half year body fat 3 9 interrupted epidemic haven t year experienced joy running waving long absence hope week,optimism,0.619481385,neutral,0.174465328,joy,0.082325198
4.89E+15,MzRUzsFj4,"to this March of last year , I was quite happy , even though the city was closed down due to the pandemic , my mood for quite a few days after working from home , I was able to eat three on time every day without working overtime , finish the exercise , and start chasing the rest of my life in the evening , please teach me more about spending every day in March of this year in the mental of work",3/31/2023 22:52,Yodpusoydotditcigvihvpysoyseoy,0,0,0,march year happy city closed pandemic mood day working home able eat time day working overtime finish exercise start chasing rest life evening teach spending day march year mental work,excitement,0.578798771,joy,0.27756691,neutral,0.074193932
4.89E+15,MzQy45zZW,I wrote a lot of messy stuff the month the epidemic closed,3/31/2023 19:24,COORD1NATOR,0,0,0,wrote lot messy stuff month epidemic closed,curiosity,0.946173012,neutral,0.026856877,approval,0.019552356
4.89E+15,MzQvUuwJT,"Starting in  22 and ending on 3 / 31 of  23 , after all of ( the epidemic closed down the city , the weather was too hot and the start of school was , were closed due to the epidemic , early due to the epidemic ), I finally got all the . The application already been . I am waiting for the branch to review the application . The Party Committee to discuss and report it to the Organization Department of the County Committee for approval before I can receive the volunteer letter . Anyway , I have to bother a large number of people . My heart is because of these few",3/31/2023 19:19,用户5800186892,0,0,0,starting 22 ending 3 31 23 epidemic closed city weather hot start school closed epidemic early epidemic finally got application waiting branch review application party committee discus report organization department county committee approval receive volunteer letter bother large number people heart,realization,0.838956594,neutral,0.150858298,approval,0.004101002
4.89E+15,MzQftFh9r,"My roommate got married and made me become a bridesmaid , I broke my leg and  t become the leader  s son got married and got married as a best friend , and the next day the epidemic closed down ,  t I get married as a good friend , made me go to the wedding , throw up diarrhea , and just up hanging water ? Can  t I feel someone else  s happiness on the spot ?",3/31/2023 18:38,MaTtiany,0,0,0,roommate got married bridesmaid broke leg t leader s son got married got married best friend day epidemic closed t married good friend wedding throw diarrhea hanging water t feel s happiness spot,excitement,0.768660426,joy,0.129651964,neutral,0.050170202
4.89E+15,MzPh9xe2E,"The job search went very smoothly and it was difficult to go anywhere after the interview . After a few days of tossing and turning , I found a place to settle in Xi  an . Suddenly I was of a time before the closure of the city due to the pandemic . Thanks to a place to settle down then , what should I do ?",3/31/2023 16:10,小杨睡醒了hai,0,0,0,job search went smoothly difficult interview day tossing turning place settle xi suddenly time closure city pandemic thanks place settle,neutral,0.98874259,gratitude,0.005069954,admiration,0.003249767
4.89E+15,MzNQ1fP5U,"The Military was in 2019 , by the epidemic and the closure of the city , which affected 3 . How much bitterness does a simple sheet of paper contain",3/31/2023 12:30,Oceanlike若海,0,0,4,military 2019 epidemic closure city affected 3 bitterness simple sheet paper contain,sadness,0.987865865,neutral,0.005935852,approval,0.002214437
