id,bid,text,time,author,repost_count,comment_count,attitudes_count,text_lemme,top_emotion,top_emotion_score,second_emotion,second_emotion_score,third_emotion,third_emotion_score
4.88E+15,Mw203rNT4,"Speaking of , the pioneer of coexistence , now fallen into the growing myth of a strange closure of the city in the event of an incident ... For example , yesterday  s student were not subject to discipline , Lai City , and today , if dogs were not honest , they went down the city , um , um , maybe you can prepare your in advance  ",3/6/2023 17:12,拍帮主,54,80,936,speaking pioneer coexistence fallen growing myth strange closure city event incident example yesterday s student subject discipline lai city today dog honest went city um um maybe prepare advance,optimism,0.995476544,approval,0.001668841,neutral,0.000989056
4.87E+15,MuncEkwhc,"[  On 22 , 2020 , it was less than 4 after the announcement of the closure of . Near the middle of the night , his wife , , to see a doctor at County Central Hospital . The doctor inadvertently : Have you been to “ recently ”? Wong - ling  t take it seriously and “ no .” The fate of one family , three , was . On 16 , 2020 , was for a term of time for the prevention and control of infectious ... full text",2/23/2023 19:30,真实故事计划,144,42,319,22 2020 4 announcement closure near middle night wife doctor county central hospital doctor inadvertently â€œ recently â€ wong ling t seriously â€œ â€ fate family 16 2020 term time prevention control infectious text,sadness,0.983327687,disappointment,0.006058186,neutral,0.002528707
4.87E+15,MsY66ppcY,"Monk also met some confused people . At every turn , he said that the government closed down the city . A comrade from the Ministry of Foreign me very clearly that the government never ordered the closure of the city ; we must be careful of people with ulterior !    s video",2/14/2023 13:45,孔庆东,124,85,409,monk met confused people turn said government closed city comrade ministry foreign clearly government ordered closure city careful people ulterior ! s video,realization,0.976450801,confusion,0.017397244,neutral,0.001718043
4.89E+15,MA0yPh4Ga,"Last year and today , a “ big screening ”, and the whole of Shanghai 60 days + without a city closure . On the first two days , people were still thinking about it , and an explanation came up . Because medical personnel from abroad came to help , people had to dress green and green , even if it was just the next building . After four days of good , it ended for at least two , and in less than a week I to worry about food . At the entrance of a neighborhood , supermarket , or  market . A group of second - class people with no fixed ... Today  s photo ... full text",4/1/2023 20:54,漫步街头的感觉,0,0,0,year today â€œ big screening â€ shanghai 60 day + city closure day people thinking explanation came medical personnel abroad came help people dress green green building day good ended week worry food entrance neighborhood supermarket market group second class people fixed today s photo text,approval,0.990376055,neutral,0.004806817,admiration,0.001668928
4.89E+15,MA0xudZbX,"I remember these days from the moment I in until I was happy . I was not sad or uncomfortable . I it with a smile . There were shopping for after the closure of the city , getting express delivery , and and of experience together . There are , but it  s a pity that  t last a lifetime . I don  t have any , and I still want you to be happy , no matter who you are with , no matter where you are",4/1/2023 20:50,要是我从来没有生气过,0,0,0,remember day moment happy sad uncomfortable smile shopping closure city getting express delivery experience s pity t lifetime t want happy matter matter,caring,0.917369962,joy,0.03731256,neutral,0.016312374
4.89E+15,MA0woioOX,"The fall was beautiful , full of tenderness , and we all had to live well enough in . from the article in the circle of PHOTO BY HANK , the photo was taken in the foreground of the closure of Shanghai in March 2020  ",4/1/2023 20:48,落入人间的台湾大叔Hank,0,0,0,fall beautiful tenderness live article circle photo hank photo taken foreground closure shanghai march 2020,love,0.97996521,admiration,0.00671774,approval,0.006488711
4.89E+15,MA0sgrSbj,"On the first anniversary of the closure of Shanghai , I still think of the helplessness of coming out of school to find a house ... the feeling of being powerless to grab food ... the sense of of ... and the and that can  t be finished ... I am also grateful to the people who me at the time ... I am no longer so afraid . A lot of have recently , slowly from loss and sadness to gradual peace . Maybe many people can only walk along one path in their . Turns out , nothing is immutable , learn to accept change ... full text",4/1/2023 20:37,橙色泡泡花,0,0,1,anniversary closure shanghai think helplessness coming school house feeling powerless grab food sense t finished grateful people time longer afraid lot recently slowly loss sadness gradual peace maybe people walk path turn immutable learn accept change text,fear,0.484969199,grief,0.440036774,sadness,0.022652064
4.89E+15,MA0k6wFTw,"Maybe I can  t share the plight of 22 with the pandemic , the closure of the city , the , the closed loop , a few of , my life alone . I received news about the breakup and the person you  re dealing with . I  t understand your approach . Later , , I saw clearly . I told myself over and over again that alcohol was a friend or family member , it was a family incident , and it was all of a sudden that was me . Just like now , when it  s a huge transformation , I  m sometimes unclear and skeptical ; I still don  t understand and ... full text",4/1/2023 20:17,用户6855332758,0,0,0,maybe t share plight 22 pandemic closure city closed loop life received news breakup person dealing t understand approach later saw clearly told alcohol friend family member family incident sudden like s huge transformation m unclear skeptical t understand text,realization,0.884435654,neutral,0.10686741,confusion,0.002482071
4.89E+15,MA0jumjVF,"[ Short Drama with  A Lonely Person  s Profile : ( by ), who broke up with her during the closure of the city due to the pandemic , accidentally met ( by Arjun Das ) ( by Arjun Das ), who lost her friend and was in pain , in two different video . Through many , the two received strength to support each other . Ah  s video song and dance",4/1/2023 20:16,翻译印度歌舞视频的阿水,2,0,2,short drama lonely person s profile broke closure city pandemic accidentally met arjun da arjun da lost friend pain different video received strength support ah s video song dance,disappointment,0.900326848,sadness,0.076863907,neutral,0.010560419
4.89E+15,MA0iFhnHF,"[ Record  Hello , 🌸 It  s been exactly one year since the closure of the city , it  s been a really fast time",4/1/2023 20:14,沃顿林,0,0,0,record hello ðŸŒ¸ s exactly year closure city s fast time,realization,0.996688664,neutral,0.001181226,approval,0.000494181
4.89E+15,MA0fqDXet,"It  s the first anniversary of the closure of the city , even though I going to school on March 9 last year",4/1/2023 20:06,胡萝卜大盗_,0,0,0,s anniversary closure city going school march 9 year,excitement,0.660360575,neutral,0.191333309,joy,0.100144744
4.89E+15,MA08wbg7K,"Last year , today was the first day of the closure of the city",4/1/2023 19:49,阿布布iii,0,0,1,year today day closure city,disapproval,0.997124732,neutral,0.000706336,approval,0.000341567
4.89E+15,MA07GtzlV,Take out the onion you bought in the capital city and eat them,4/1/2023 19:47,蜡笔小轩v2,0,0,0,onion bought capital city eat,desire,0.691937506,neutral,0.298367888,approval,0.002063045
4.89E+15,MzXIodtXS,A bar should be formed tonight to warmly celebrate the first anniversary of Shanghai  s absolute closure,4/1/2023 13:39,捣蒜船长,1,1,13,bar formed tonight warmly celebrate anniversary shanghai s absolute closure,excitement,0.769437969,neutral,0.157999501,joy,0.049215667
4.89E+15,MA0452VEV,"In the world of bald , only can be truly happy , ah , spring in the south is really beautiful . At this time last year , the city was closed down for a year so fast",4/1/2023 19:38,盐味气泡水儿,0,0,1,world bald truly happy ah spring south beautiful time year city closed year fast,neutral,0.773779035,joy,0.147111759,admiration,0.02477679
4.89E+15,MzZSICMCD,"Watching  s new video that at the age of 20 - 30 , the term “ boring ” is particularly derogatory , that this person nothing to do , but when they reach the age of 30 , they start to feel “ ” that this person  s mentality , and what I  m particularly about is that Shanghai officially closed down on this day last year , and the video posted today went back to to experience “ boredom .” Remember last year , was also blocked live in Shanghai to watch her previous travel ... full story",4/1/2023 19:10,饥饿噗鲁,0,0,4,watching s new video age 20 30 term â€œ boring â€ particularly derogatory person reach age 30 start feel â€œ â€ person s mentality m particularly shanghai officially closed day year video posted today went experience â€œ boredom â€ remember year blocked live shanghai watch previous travel story,disapproval,0.88638401,disappointment,0.077345714,neutral,0.010247735
4.89E+15,MzZNRdLMH,"The hustle and bustle of down . Think about now , last year , when the closure of the city just , they tried all of ways just to buy some food . A green onion is also very precious . There were in the community . At first , it was just all of information flying all over the air ; later , community group was in full swing . As a volunteer , I met quite a few , test acid , deliver express delivery , food , ., and felt that I was very . Now this year , are no longer mandatory . Little ... full text",4/1/2023 18:58,相信已发生的奇迹,0,0,0,hustle bustle think year closure city tried way buy food green onion precious community information flying air later community group swing volunteer met test acid deliver express delivery food felt year longer mandatory little text,optimism,0.99193269,neutral,0.003290988,approval,0.001582267
4.89E+15,MzZyiu3Lt,The sequelae of the closure of due to the epidemic - I don  t know what clothes to wear other than when going out,4/1/2023 18:20,涛涛涛_1758Shero_DaDisco,0,0,0,sequela closure epidemic t know clothes wear going,realization,0.843034387,neutral,0.139135912,confusion,0.006028979
4.89E+15,MzZgj1lEe,"I broke my leg in on 1 ,  21 , the city of was closed down on 1 ,  22 , and my that the family drinking party was too loud on 1 , 23 . Every year I told people I  t know this day that no one it .",4/1/2023 17:35,胶卷塔可,0,0,2,broke leg 1 21 city closed 1 22 family drinking party loud 1 23 year told people t know day,approval,0.995824933,neutral,0.001025918,admiration,0.0008607
4.89E+15,MzZbBjWna,"I bought three tulip in the winter of the previous year . The and in the office during the closure of the city last year , and I  t water them or take care of them . I thought first - year  t bloom again this year . I them in the flower pond , but I  t expect them to bloom again",4/1/2023 17:24,pb酱,0,0,1,bought tulip winter previous year office closure city year t water care thought year t bloom year flower pond t expect bloom,optimism,0.989856124,neutral,0.003138377,approval,0.002896366
4.89E+15,MzZ2p25lk,"A short note on drinking tea today . “ Out of Chaos ” I went to a friend  s tea room to drink tea in the afternoon , and by the way , brought my camera 📷 and took some of her . We met during the closure of the city due to the epidemic last year . Everyone was very anxious and very painful . It  s been a long time since we  seen it , but now we  re all learning to reinvent ourselves , relieve our , and have become more relaxed . There are people who always work hard to do a good job , but they also need to take care of their hearts . There was a time when she felt like she was being ... full story",4/1/2023 17:01,闽南小吃货,0,1,5,short note drinking tea today â€œ chaos â€ went friend s tea room drink tea afternoon way brought camera ðŸ“· took met closure city epidemic year anxious painful s long time seen learning reinvent relieve relaxed people work hard good job need care heart time felt like story,approval,0.943509698,neutral,0.02455673,caring,0.014512016
4.89E+15,MzYKO5LnS,The  were all bought out of boredom during the closure of due to the pandemic 🐱,4/1/2023 16:18,付尔摩斯-,0,2,1,bought boredom closure pandemic ðŸ±,sadness,0.900156498,neutral,0.090191364,approval,0.002295363
4.89E+15,MzYEY2IiR,"Last year , Shanghai was closed down today . The cold winter will finally be over . Experience the subway without wearing a mask for a day ~ Shanghai",4/1/2023 16:03,康仕峻,0,0,1,year shanghai closed today cold winter finally experience subway wearing mask day shanghai,realization,0.728401065,neutral,0.116073698,approval,0.114715882
4.89E+15,MzYBR7vk2,Time . It  s been half a year since the closure of the city in last year ...,4/1/2023 15:56,-是颗山竹噢-,0,0,0,time s half year closure city year,approval,0.994089484,neutral,0.003551918,admiration,0.000542009
