id,bid,text,time,author,repost_count,comment_count,attitudes_count,text_lemme,top_emotion,top_emotion_score,second_emotion,second_emotion_score,third_emotion,third_emotion_score
4.89E+15,MzZXnlM6M,"Don  t promote the West  s up to visit China , normal diplomatic , please don  t make a frown . As the world  s second economy and trading country in goods , it  t carried out diplomacy in the past three due to the pandemic . Now that normal diplomatic are being carried out , normal diplomatic have been by some self - media as being by the West as up to visit China . There is really no need for this . You need to know that our diplomatic with major trading are still lukewarm , and the external environment to deteriorate , so it should ... full text",4/1/2023 19:21,史凝眸,2,16,46,t promote west s visit china normal diplomatic t frown world s second economy trading country good t carried diplomacy past pandemic normal diplomatic carried normal diplomatic self medium west visit china need need know diplomatic major trading lukewarm external environment deteriorate text,approval,0.98036927,admiration,0.011754012,neutral,0.002552222
4.89E+15,MA001lEfE,The first concert that of people watched after the pandemic .  ,4/1/2023 19:28,邹小樱,4,56,1027,concert people watched pandemic,approval,0.962477684,realization,0.019323153,neutral,0.009175302
4.89E+15,MA00qb0QM,"  ： There is  s concert at the Sports Center today . The opening at 8 o  clock is the first large - scale concert in after the pandemic , and it is also the first large - scale concert that since the opening of Line 4 . Relevant passenger flow footage . Today , the operation of the entire network was extended by 1 hour . Among them , after 22 : 00 , the train interval of Line 4 was 5 apart .",4/1/2023 19:29,地铁客流及运输研究阿牛,6,44,228,ï¼š s concert sport center today opening 8 o clock large scale concert pandemic large scale concert opening line 4 relevant passenger flow footage today operation entire network extended 1 hour 22 00 train interval line 4 5 apart,approval,0.847898185,amusement,0.143791139,neutral,0.00332091
4.89E+15,MA0MMwlpc,I was particularly happy on a spring weekend trip after the pandemic this year,4/1/2023 21:28,恬筠-,0,0,0,particularly happy spring weekend trip pandemic year,excitement,0.640105069,neutral,0.223755851,joy,0.085211478
4.89E+15,MA0MFrXqp,"I said why only 10 of medicine were given during the epidemic , and it turned out to be so effective in relieving pain !",4/1/2023 21:28,Z闪闪呦,0,0,0,said 10 medicine given epidemic turned effective relieving pain !,caring,0.523838997,approval,0.192509726,relief,0.174141526
4.89E+15,MA0MD5aUB,"I really like the beautiful scenery of my home in Hong . Unfortunately , I haven  t been able to stay here for over 3 since the pandemic took place . Spending more than 1 million on rent is a waste of life .",4/1/2023 21:28,我最爱001,0,0,0,like beautiful scenery home hong unfortunately haven t able stay 3 pandemic took place spending 1 million rent waste life,approval,0.924413502,disapproval,0.025907105,admiration,0.023335993
4.89E+15,MA0M2a4Dd,"The weather is nice today . After the epidemic , I was finally able to go to Park to enjoy the spring . I haven  t been out to play in a long time ...",4/1/2023 21:26,樱花涛子,0,0,0,weather nice today epidemic finally able park enjoy spring haven t play long time,approval,0.978933215,neutral,0.004948404,joy,0.00368341
4.89E+15,MA0LZoRqD,"Before the first concert after the pandemic , I saw the news that an outdoor concert was going to be recently , none of the busy people who were busy with work were really afraid that they  t be able to walk away yesterday , and I inadvertently saw the feeling that should be a half - day shift . Who the scolding from in the morning frantically the report to sort out the information originally to go see him for almost all of this afternoon ... full story",4/1/2023 21:26,最平凡日子_最卑微梦想,0,0,0,concert pandemic saw news outdoor concert going recently busy people busy work afraid t able walk away yesterday inadvertently saw feeling half day shift scolding morning frantically report sort information originally afternoon story,sadness,0.994743586,disgust,0.00103828,fear,0.00093384
4.89E+15,MA0LVk0SA,"Since the end of the epidemic , I went shopping for the first time today . There are many around holding and hearts with their Han or . I won  t mention it when I went to college . Guan",4/1/2023 21:26,Vices_0991,0,0,0,end epidemic went shopping time today holding heart han won t mention went college guan,optimism,0.992894709,sadness,0.00253562,neutral,0.001318028
4.89E+15,MA0LprmJS,"[ 3 • 20  Dragging until today it like it  s been a long time and it like it just on this special day , I to share with you that I  an important event in my life , year after year , my marriage period can only be over and over again when I suddenly let go of the wedding ceremony in and suddenly let go to the agenda like this , I know a month in advance that I also knew I to enjoy drinking everything was so abrupt ... full text",4/1/2023 21:25,喂井井,0,0,1,3 â€¢ 20 dragging today like s long time like special day share important event life year year marriage period suddenly let wedding ceremony suddenly let agenda like know month advance knew enjoy drinking abrupt text,amusement,0.931383193,joy,0.045871817,neutral,0.011780019
