id,bid,text,time,author,repost_count,comment_count,attitudes_count
4876341876626626,Mw203rNT4,"Speaking of , the pioneer of coexistence , now fallen into the growing myth of a strange closure of the city in the event of an incident ... For example , yesterday ' s student were not subject to discipline , Lai City , and today , if dogs were not honest , they went down the city , um , um , maybe you can prepare your in advance  ",2023-03-06 17:12:44,拍帮主,54,80,936
4872390364890634,MuncEkwhc,"[ ] On 22 , 2020 , it was less than 4 after the announcement of the closure of . Near the middle of the night , his wife , , to see a doctor at County Central Hospital . The doctor inadvertently : Have you been to “ recently ”? Wong - ling ' t take it seriously and “ no .” The fate of one family , three , was . On 16 , 2020 , was for a term of time for the prevention and control of infectious ... full text",2023-02-23 19:30:50,真实故事计划,144,42,319
4869042026055104,MsY66ppcY,"Monk also met some confused people . At every turn , he said that the government closed down the city . A comrade from the Ministry of Foreign me very clearly that the government never ordered the closure of the city ; we must be careful of people with ulterior !   ' s video",2023-02-14 13:45:44,孔庆东,124,85,409
4885819674069566,MA0yPh4Ga,"Last year and today , a “ big screening ”, and the whole of Shanghai 60 days + without a city closure . On the first two days , people were still thinking about it , and an explanation came up . Because medical personnel from abroad came to help , people had to dress green and green , even if it was just the next building . After four days of good , it ended for at least two , and in less than a week I to worry about food . At the entrance of a neighborhood , supermarket , or ' market . A group of second - class people with no fixed ... Today ' s photo ... full text",2023-04-01 20:54:07,漫步街头的感觉,0,0,0
4885818843333489,MA0xudZbX,"I remember these days from the moment I in until I was happy . I was not sad or uncomfortable . I it with a smile . There were shopping for after the closure of the city , getting express delivery , and and of experience together . There are , but it ' s a pity that ' t last a lifetime . I don ' t have any , and I still want you to be happy , no matter who you are with , no matter where you are",2023-04-01 20:50:48,要是我从来没有生气过,0,0,0
4885818164385319,MA0woioOX,"The fall was beautiful , full of tenderness , and we all had to live well enough in . from the article in the circle of PHOTO BY HANK , the photo was taken in the foreground of the closure of Shanghai in March 2020  ",2023-04-01 20:48:07,落入人间的台湾大叔Hank,0,0,0
4885815606643133,MA0sgrSbj,"On the first anniversary of the closure of Shanghai , I still think of the helplessness of coming out of school to find a house ... the feeling of being powerless to grab food ... the sense of of ... and the and that can ' t be finished ... I am also grateful to the people who me at the time ... I am no longer so afraid . A lot of have recently , slowly from loss and sadness to gradual peace . Maybe many people can only walk along one path in their . Turns out , nothing is immutable , learn to accept change ... full text",2023-04-01 20:37:57,橙色泡泡花,0,0,1
4885810547787542,MA0k6wFTw,"Maybe I can ' t share the plight of 22 with the pandemic , the closure of the city , the , the closed loop , a few of , my life alone . I received news about the breakup and the person you ' re dealing with . I ' t understand your approach . Later , , I saw clearly . I told myself over and over again that alcohol was a friend or family member , it was a family incident , and it was all of a sudden that was me . Just like now , when it ' s a huge transformation , I ' m sometimes unclear and skeptical ; I still don ' t understand and ... full text",2023-04-01 20:17:51,用户6855332758,0,0,0
4885810165319827,MA0jumjVF,"[ Short Drama with ] A Lonely Person ' s Profile : ( by ), who broke up with her during the closure of the city due to the pandemic , accidentally met ( by Arjun Das ) ( by Arjun Das ), who lost her friend and was in pain , in two different video . Through many , the two received strength to support each other . Ah ' s video song and dance",2023-04-01 20:16:20,翻译印度歌舞视频的阿水,2,0,2
4885809654142695,MA0iFhnHF,"[ Record ] Hello , 🌸 It ' s been exactly one year since the closure of the city , it ' s been a really fast time",2023-04-01 20:14:18,沃顿林,0,0,0
4885807649522485,MA0fqDXet,"It ' s the first anniversary of the closure of the city , even though I going to school on March 9 last year",2023-04-01 20:06:20,胡萝卜大盗_,0,0,0
4885803362683592,MA08wbg7K,"Last year , today was the first day of the closure of the city",2023-04-01 19:49:18,阿布布iii,0,0,1
4885802847047411,MA07GtzlV,Take out the onion you bought in the capital city and eat them,2023-04-01 19:47:15,蜡笔小轩v2,0,0,0
4885710283213452,MzXIodtXS,A bar should be formed tonight to warmly celebrate the first anniversary of Shanghai ' s absolute closure,2023-04-01 13:39:26,捣蒜船长,1,1,13
4885800610698301,MA0452VEV,"In the world of bald , only can be truly happy , ah , spring in the south is really beautiful . At this time last year , the city was closed down for a year so fast",2023-04-01 19:38:22,盐味气泡水儿,0,0,1
4885793569243371,MzZSICMCD,"Watching ' s new video that at the age of 20 - 30 , the term “ boring ” is particularly derogatory , that this person nothing to do , but when they reach the age of 30 , they start to feel “ ” that this person ' s mentality , and what I ' m particularly about is that Shanghai officially closed down on this day last year , and the video posted today went back to to experience “ boredom .” Remember last year , was also blocked live in Shanghai to watch her previous travel ... full story",2023-04-01 19:10:22,饥饿噗鲁,0,0,4
4885790553281951,MzZNRdLMH,"The hustle and bustle of down . Think about now , last year , when the closure of the city just , they tried all of ways just to buy some food . A green onion is also very precious . There were in the community . At first , it was just all of information flying all over the air ; later , community group was in full swing . As a volunteer , I met quite a few , test acid , deliver express delivery , food , ., and felt that I was very . Now this year , are no longer mandatory . Little ... full text",2023-04-01 18:58:24,相信已发生的奇迹,0,0,0
4885780907164315,MzZyiu3Lt,The sequelae of the closure of due to the epidemic - I don ' t know what clothes to wear other than when going out,2023-04-01 18:20:04,涛涛涛_1758Shero_DaDisco,0,0,0
4885769750321546,MzZgj1lEe,"I broke my leg in on 1 , ' 21 , the city of was closed down on 1 , ' 22 , and my that the family drinking party was too loud on 1 , 23 . Every year I told people I ' t know this day that no one it .",2023-04-01 17:35:44,胶卷塔可,0,0,2
4885766834752620,MzZbBjWna,"I bought three tulip in the winter of the previous year . The and in the office during the closure of the city last year , and I ' t water them or take care of them . I thought first - year ' t bloom again this year . I them in the flower pond , but I ' t expect them to bloom again",2023-04-01 17:24:09,pb酱,0,0,1
4885761130497198,MzZ2p25lk,"A short note on drinking tea today . “ Out of Chaos ” I went to a friend ' s tea room to drink tea in the afternoon , and by the way , brought my camera 📷 and took some of her . We met during the closure of the city due to the epidemic last year . Everyone was very anxious and very painful . It ' s been a long time since we ' seen it , but now we ' re all learning to reinvent ourselves , relieve our , and have become more relaxed . There are people who always work hard to do a good job , but they also need to take care of their hearts . There was a time when she felt like she was being ... full story",2023-04-01 17:01:29,闽南小吃货,0,1,5
4885750221373788,MzYKO5LnS,The ' were all bought out of boredom during the closure of due to the pandemic 🐱,2023-04-01 16:18:07,付尔摩斯-,0,2,1
4885746600646961,MzYEY2IiR,"Last year , Shanghai was closed down today . The cold winter will finally be over . Experience the subway without wearing a mask for a day ~ Shanghai",2023-04-01 16:03:45,康仕峻,0,0,1
4885744671788702,MzYBR7vk2,Time . It ' s been half a year since the closure of the city in last year ...,2023-04-01 15:56:05,-是颗山竹噢-,0,0,0
4885743942763450,MzYAGbATM,Today last year the beginning of the closure of the city for 2 and a half . I always lament that time so fast . What does nostalgia for the past explain  ,2023-04-01 15:53:11,花朝静,0,0,0
4885743363428303,MzYzKenRd,Today I ' m traveling to commemorate the closure of the city last year and today . to be in again,2023-04-01 15:50:53,金投魅颖,0,0,1
4885729870086952,MzYdZ0mCs,"On this day of last year , the closure of the city . On this day of sitting and waiting to run out of food , drink a cup of milk tea and take a look around",2023-04-01 14:57:16,娜拉的腿腿子,0,0,0
4885701071996599,MzXtx8npd,"were at Jing ' an Temple at this time a year ago . On the eve of the closure of Shanghai , there were few on the streets .",2023-04-01 13:02:50,燃烧的雾港水手,8,10,289
4885717111542649,MzXTp6tjr,"On Everyday Fantasy , there is a rich baby who about living in a big open field in Shanghai ' s inner ring . The wife who on him brought him a son . The old man ' s mother and mother are responsible for living . Her mission is to sleep until she wakes up naturally every day , eat small prepared by her wife , and enjoy the neighborhood ' s past with luxurious double on the balcony . She occasionally long pants and . The closure of Shanghai had no effect on his family . There are three of daily powder absorption ... full text",2023-04-01 14:06:34,财小琛,0,0,0
4885715676304472,MzXR5qs52,"The first anniversary of the closure of the city finally stopped missing spring this year , Garden",2023-04-01 14:00:52,机智如我啊哈哈哈,0,8,4
4885715060788840,MzXQ63jde,The city was closed down today last year,2023-04-01 13:58:25,Lucky上帝的孩子924,0,0,0
4885714456545467,MzXP7rsM3,"What in March of last year ? The closure of the city . Originally , Li ' s company to send him on a business trip to because the closure of the city ' t happen . You also know that there was a plane crash in in March . Our small town was closed down for over 2 before it was let go . 3 . 8 is ' s Day . I bought a pair of for him at the mall that day . I him to come here to pick them up . He ' t pull them off and took them back after two days . We ' t meet when the city was closed down . After the blockade was , it was on 4 . 10 that day ... full story",2023-04-01 13:56:01,利维坦sakk,0,0,0
4885708282269793,MzXFa9wtz,It turns out that the closure of Shanghai was already a year ago,2023-04-01 13:31:29,狗勾睡大觉_,0,0,0
4885700741434807,MzXt061g3,"First anniversary of the closure of the city , , Shanghai",2023-04-01 13:01:31,全全呀圈QUAN,0,0,1
4885698694349033,MzXpHifnH,"Last year today , the city was closed down ! Two ...",2023-04-01 12:53:22,呆毛毛杨一二,0,0,1
4885696966297227,MzXmUqqcb,From the closure and clearing of the city of three ago to being forced to abandon the clean - up policy in last year,2023-04-01 12:46:31,长见密叶翠光流,0,0,1
4885676770723480,MzWQl32d2,"Although the family structure is similar , the attitude is completely different . The people in my family who have closed down the city due to the pandemic have not even said a word of greeting .",2023-04-01 11:26:16,馋秋刀鱼的猫,0,0,0
4885674869920358,MzWNgFCJM,"Twenty ago today , my favorite singer left . Today last year , a terrible . 365 days a year , 4 / 1 was really my least favorite day .",2023-04-01 11:18:43,阿姨您这是喜脉呀,0,0,0
4885674744876555,MzWN4ksC7,"In between , I saw this old book on the bookshelf . In 2013 , ten after , to commemorate the experience and perception , wrote the book “ Don ' t Forget ”. At the time , I thought we would never go through that kind of process again . On the day of the COVID - 19 outbreak in 2020 and the closure of on 23 , posted a commemorative text on about “ Don ' t lose , don ' t forget ”. “ Never Lose , Never Forget ” was in 2013 , and it ' s been ten since then . ... full text",2023-04-01 11:18:13,心理咨询师程颖,0,0,0
4885671565853369,MzWHWoyJb,"Let me just say here again . I haven ' t seen any credit for COVID - 19 ; apart from daring to say that it spread from person to person , causing panic , more than 5 million people ran out before the closure of the city , which led to the spread of the epidemic . Although treatment was involved in COVID - 19 , Western medicine and Western medicine had no specific medicine , it was just their and fooling the public ! It actually ' t work at all ; some treatment are harmful ! “ Academician ' s latest speech at a medicine seminar !” Links to web",2023-04-01 11:05:34,--陈老大,0,0,0
4885667878800942,MzWBZAVwG,"On the first anniversary of the closure of the city , escape from here",2023-04-01 10:50:56,卿颜__,0,0,2
4885667647328647,MzWBCuKvZ,"A year ago today , Shanghai closed down .",2023-04-01 10:50:01,黑暗破坏大文盲,0,5,3
4885664585744981,MzWwGo6wZ,First anniversary of the closure of the city,2023-04-01 10:37:51,hopessmoon,0,0,0
4885659162252086,MzWnW9rRY,"The first anniversary of the closure of the city , my family",2023-04-01 10:16:18,我陪你同往,0,0,1
4885656574625734,MzWjLjpmC,  ， ， ！,2023-04-01 10:06:01,高妙桂,0,1,2
4885656122164424,MzWj29544,"It ' s , a new beginning . Remember last . After Shanghai was closed down for a long time , large - scale city all over the country . When I was , I in the community and the doctor keep alcohol , and my would freeze . Stuck at home like this , it ' s like I ' spring . In of this year , the weather was much warmer than last year . As , I was in full bloom with spring . I watched the grass green , the , and went on a green outing . People also seem to be getting better day by day . Every star ... full text",2023-04-01 10:04:13,肉团子_Sun,0,2,0
4885649826253740,MzW8SqeSM,"  ， 。。。 There ' s just one sentence , it ' s possible to knock out all the that enter the city from outside and go back together to the state where it was before the closure of the city !",2023-04-01 09:39:12,用户7206491324,0,0,0
4885645237159121,MzW1tu2pH,The closure of the city during last year and the blooming season . I really want to enjoy the this year,2023-04-01 09:20:58,采采未央,0,0,0
4885643778066495,MzVZ7xQsL,"Last year today , Shanghai was closed down .",2023-04-01 09:15:10,禾女士在念書,0,0,2
4885643282876463,MzVYkc4iz,First anniversary of the closure of the city,2023-04-01 09:13:12,水柱牛肉,0,0,0
4885635025078677,MzVL0ljc9,The behind the closure of the city on 1 had a bit of a sense of humour .,2023-04-01 08:40:23,Hyde-3-,0,0,0
4885618360844404,MzVk83xFq,"I ' m very happy every time I go to work on a motorcycle on the weekend , because I feel that the road is smooth and then I suddenly remember that it ' s because other people don ' t go to work on the weekend and are suddenly unhappy ( the most enjoyable time to ride a motorcycle was when the city was closed due to the pandemic , only 🏥 had to go to work )",2023-04-01 07:34:09,lok666caco,0,2,0
4885606184780814,MzV0uk3HU,First anniversary of the closure of the city,2023-04-01 06:45:47,Taurus_0502丶,0,0,0
4885605269373774,MzUZ0DkxU,"Cherry bloom this month , and on the eve of the closure of the city this month last year , I also went to to see cherry in with the light of a colleague ( alumni can bring their in ), and then the leader ice cream and saw the sleeping cat early in the morning , and Bob was also a bit nervous who understood that it was really the first time that Bob Charming went out to eat hot pot with her during a lunch break , but she slowly learned that she ' t get along with her ... full story",2023-04-01 06:42:09,CJ五角场阿鳍,0,0,1
4885591566582168,MzUCUrCk0,"The best time to practice was probably in of last year . I do twice a day , once in the morning and once in the evening , and commute to work in the evening to train strength for over an hour . I was really at the time . I went out for a run after 5 in the morning , but I was also nervous . My was high , and my body was in an unhealthy state . I caught a severe cold once in , and after the pandemic closed down the city , the frequency of fitness was not that high . I ' m thinking , do I want a low body fat or a healthy body ... full story",2023-04-01 05:47:42,拿铁的奶油小老虎,0,3,0
4885577641755293,MzUgs7mDb,"I stayed up late in history today and chirping , and I suddenly that today was the first anniversary of the beginning of the closure of the city",2023-04-01 04:52:22,困路之跃,0,3,20
4885570109571144,MzU4iE9Ti,The first anniversary of the closure of the castle 😸,2023-04-01 04:22:26,_annabear,0,0,2
4885565436068453,MzTWLpsGh,"No matter how loud the sound of “ New Year ' s Message ” 23 . 1 . 1 is , it ' s still pale and weak ! That is not the voice of the people . Cheeky and shameless , by the sea , suddenly disgusted . The place where you were born is the motherland . It is your mother who you life , and you can ' t forget it for the rest of your life . A flesh - and - blood feeling , a heart of affection , is for a free life . No high , no iron , no closure of the city . Whether a citizen is a subject or a public servant or a master on political . The truth of life ... full text",2023-04-01 04:03:52,丘山林雨,0,0,0
4885550220444188,MzTye1Ryk,"On 1 , 2022 , the city of was closed down !",2023-04-01 03:03:24,这个号不能再封了,0,0,1
4885546431677289,MzTs772l3,"Last year , from August until the end of the year , my whole person experienced a state of being one after another : sad , the closure of the city made it even harder to hurt , Yang , the most boring New Year ' s Eve in history , this year went by so fast . I felt like life flew by in a blink of an eye I was left feeling like four have since I was in a hurry , but I still haven ' t my blood , it ' s true that my energy been seriously hurt ( )",2023-04-01 02:48:21,潜水员RR,0,0,0
4885535388861480,MzTaiBbh6,The feeling that the closure of the city brought me was essentially a fault in life . My life fell directly into the big world after being stripped of a landslide in fantasy,2023-04-01 02:04:28,雨季游泳请谨慎仰头,0,1,0
4885530876052048,MzT31popG,"Many have since you left , for example , . Wang will stop by to see my grandmother when she my grandmother , and I remember the last time she saw you was when she picked me up before the city was closed down , she still that your dad ' t find out that you had cancer at the time , I regret not you during the Ching Ming Festival , and I miss you again",2023-04-01 01:46:32,AnnE不在,0,0,0
4885524835208407,MzSThlQWz,"Last year , closed down after 00 : 00 today . This ' t an Fool ' s Day joke .",2023-04-01 01:22:32,四年没爬墙了,0,0,0
4885524224149150,MzSSihpnM,"It ' s like about this time last year , I was still in the middle of my bedroom , World War , and the confusion of work . A few deep : and ; and moving ; and ' s graduation trip to , waking up all over the place and crying silently on the high - speed rail ; sneaking around and making noise on the high - speed rail ; the fear of the closure of the city in ; the fear of the closure of the city in ; the fear of the closure of the city in ; the fear of the closure of the city in , knowing that the young sister from the house next door together every day , and food and from her aunt on the opposite side ; for the exam in ... full text",2023-04-01 01:20:06,-你发芽了吗,0,2,1
4885522743036068,MzSPUcJOQ,It ' s actually been a year since the closure of Shanghai ; it ' s also Lee ' s one year old in the true sense of the word,2023-04-01 01:14:13,忽而今夏764,0,0,0
4885519504249408,MzSKGhPsQ,The special day is worth posting a to commemorate the first anniversary of the closure of the city ~ Shanghai,2023-04-01 01:01:21,Redamancy_CH49,0,0,4
4885518011858960,MzSIh7NBe,The first anniversary of the closure of,2023-04-01 00:55:24,A聖誕快樂_,0,0,1
4885507576434115,MzSrrqZO3,"After that year and today , I really just over and over again last year and today , while blaming people , there was a mandarin pot style closure in Shanghai , and I cursed n",2023-04-01 00:13:57,offtoneverland,0,0,0
4885507530294648,MzSrn1eEo,"The closure of Shanghai on this day last year . It ' s been a year ,",2023-04-01 00:13:46,philgrim,0,0,1
4885504597696622,MzSmDwif4,"The last time I through this street , the city was closed down . There ' t a single car or pedestrian on the road , all the were closed , the were dim , and my dad drove me to the airport in the early of the morning , smoking . Now it ' s crowded and bustling again , and even more than half of people don ' t wear . It ' s like being from another world . It ' s true that an era . However , the state of mind that was blocked and suppressed at the time was still a reflection of the condition when walking to the old place , and here it was again ... full text",2023-04-01 00:02:07,iepurii,0,0,9
4885501386166300,MzShspS8s,"On the last day of March , the closure of Shanghai on this day of last year . This month was really rough and difficult to enrich , but the harvest was still quite a bit more than cheer",2023-03-31 23:49:21,月桂熊熊oO,0,0,0
4885499494010802,MzSepgPom,"I had two of overtime work in March , dental , swimming , and I hope the first two of went as smoothly as I had !!! At this time last year , when the city was ready for closure , I still miss it ... After all , the days of not working and getting for more than two were so cool , and I was able to be hungry and thin 🙃 It ' s not totally unacceptable not to be able to go out ... Shanghai",2023-03-31 23:41:50,宇宙梦想家HH,0,1,0
4885497652448083,MzSbragRd,"Today I ' m still lamenting with my good , , I was nervous for acid at this time last year , , I had no idea that tomorrow would close the city silently or even stay sealed for that long . What last year was experienced in a blink of an eye , a year , and the “ epidemic ” history and a thing of the past .",2023-03-31 23:34:31,库里的甜儿,0,0,1
4885497249532442,MzSaMDZP4,"Since the closure of the city from the epidemic in , I took a break for 4 days (🐑 2 days off , 2 days off for the New Year ), and finally got back to work . I hope I can sleep until 10 o ' clock tomorrow and wake up naturally . Let ' s not wake up with my biological clock in",2023-03-31 23:32:55,今年想做欧洲人,0,2,0
4885495660680279,MzS8e2QYf,"I a game yesterday . Once a week before the closure of the city last year , after more than half a year , my body fat 3 . 9 %. Then I was interrupted again by the epidemic , and I haven ' t again in almost a year . At last , I once again experienced the joy of running , , and waving after a long absence . I hope it , once a week .",2023-03-31 23:26:36,Nirvana__Forever,0,0,1
4885494218101790,MzS5TxZE2,March 👋🏻 The closure of the mandarin pot at this time last year ; retaliatory in March of this year 🚄 continued ✈️ happy,2023-03-31 23:20:52,林燕燕Abby,0,1,0
4885489447866719,MzRYcx0uz,The closure of the city today last year . It like a long time ; I ' almost forget the time this year .,2023-03-31 23:01:55,周美呆,0,0,0
4885488064008383,MzRVYgOLl,"At this moment last year , I am looking forward to a smooth seven - day closure of the city with anticipation . However , the nightmarish journey continued for a full two . I was stuck at home , unable to get accurate and real information . My heart was full of fear and unease all day long . I almost felt like the end of the world was coming , life and death were uncertain , the way forward was bleak , and my heart was full of unbearable hopelessness . I saw the road full of closely people turning around ... full text",2023-03-31 22:56:25,chenmy1954,0,2,0
4885487196831970,MzRUzsFj4,"to this March of last year , I was quite happy , even though the city was closed down due to the pandemic , my mood for quite a few days after working from home , I was able to eat three on time every day without working overtime , finish the exercise , and start chasing the rest of my life in the evening , please teach me more about spending every day in March of this year in the mental of work",2023-03-31 22:52:57,Yodpusoydotditcigvihvpysoyseoy,0,0,0
4885484411555822,MzRQ56wJU,"Looking back at the during the closure of the city , I am now in a state of disrepair",2023-03-31 22:41:54,你吃不吃薄荷糖啊,0,0,0
4885477645622817,MzRFanAKB,"Last year and today , I was lying quietly waiting for the closure of the city in Shanghai , food from the refrigerator thinking I could spend a week , but now many have become inhumane",2023-03-31 22:15:01,丑小Ya-,0,0,0
4885465243059352,MzRlacPSo,"Last year , Shanghai was for the closure of the city today !!! 2022 / 4 🈷️ 1 to 2022 / 6 🈷️ 1 Two unforgettable !!!",2023-03-31 21:25:43,一只优雅的刺猬本尊,0,0,3
4885461640157789,MzRfm0F2Z,"I was able to get some of my last year , but after the three - month closure of the city had , it was a shame not to get them",2023-03-31 21:11:25,撒第二把盐,0,0,0
4885458263740587,MzR9UfH63,"Last year today , the closure of the city was about to begin . The day before , I had up on food that could handle the number of days officially . I remember going to buy meat that afternoon , saw the relevant person in uniform come and verbally informed the food street on the spot to close before 3 ( or4 ) p . m . Everyone is puzzled : ' t they start blocking the day after tomorrow ? Time , it ' s like being from another world .",2023-03-31 20:58:00,此曰彼曰,0,0,0
4885434801330020,MzQy45zZW,I wrote a lot of messy stuff the month the epidemic closed,2023-03-31 19:24:46,COORD1NATOR,0,0,0
4885433467275693,MzQvUuwJT,"Starting in ' 22 and ending on 3 / 31 of ' 23 , after all of ( the epidemic closed down the city , the weather was too hot and the start of school was , were closed due to the epidemic , early due to the epidemic ), I finally got all the . The application already been . I am waiting for the branch to review the application . The Party Committee to discuss and report it to the Organization Department of the County Committee for approval before I can receive the volunteer letter . Anyway , I have to bother a large number of people . My heart is because of these few",2023-03-31 19:19:28,用户5800186892,0,0,0
4885431210219867,MzQsh0Vcf,"The pressure from the closure of the city last year was fast for a year and ' t . What ' s even worse is that everyone is getting fat and is starting to encourage each other not to let go of body anxiety and let go of eating , forget it , I want to break up with this world",2023-03-31 19:10:30,jenniii_iii,0,0,0
4885423983428255,MzQgCenQr,"I went out to sneak around in the afternoon to see if there were in the small pond in the neighborhood ? I just remember how many they were fishing for when the city closed down last year , and I ' t at all ; I remember pushing a stroller , carrying a net , carrying a bucket , and then getting a courier and going home with a courier ... but what I hate the most is the kindergarten ' s body temperature at 8 : 40 before filling it in , looking for a teacher for a good night ' s sleep .",2023-03-31 18:41:46,mel个了咪,0,0,0
4885423279837381,MzQftFh9r,"My roommate got married and made me become a bridesmaid , I broke my leg and ' t become the leader ' s son got married and got married as a best friend , and the next day the epidemic closed down , ' t I get married as a good friend , made me go to the wedding , throw up diarrhea , and just up hanging water ? Can ' t I feel someone else ' s happiness on the spot ?",2023-03-31 18:38:59,MaTtiany,0,0,0
4885411270233053,MzPW70YCV,  ，,2023-03-31 17:51:16,-禾呈羊羽-,0,3,0
4885399283174426,MzPCMdjOq,"I really don ' t like - at all when I bought the sticker . The last time I bought the sticker , the city closed for a week in the middle , and I ' t receive it . When I thought a week later , I was so drunk that I was dying like a fairy . was so hot and warm , I was strangely confused when I pinched the sticker in my hand . Now the ' will be - sold for another 50 days ; I don ' t even know what ' s going to happen five days from now .",2023-03-31 17:03:38,柴以春夏作头,0,0,2
4885385877918804,MzPh9xe2E,"The job search went very smoothly and it was difficult to go anywhere after the interview . After a few days of tossing and turning , I found a place to settle in Xi ' an . Suddenly I was of a time before the closure of the city due to the pandemic . Thanks to a place to settle down then , what should I do ?",2023-03-31 16:10:22,小杨睡醒了hai,0,0,0
4885375850386405,MzP0Z1Cwl,"Cooking my own food is really like a reflection of a state of mind because I don ' t want to cook ravioli , so I casually a tutorial for ravioli and told me that you can fry them , but it always like if it ' t work , the bottom at the end is dark , and there ' s no way I can just add water or cook it in an oil pan like a year ago today I really ' t want to close the city , but I still cut it all out and found that I forgot to put it away ... full story",2023-03-31 15:30:31,叛逆小鱼不是咸鱼,0,0,1
4885331063606720,MzNQKf8gU,The city is about to be closed down last year now . How fast is a year,2023-03-31 12:32:33,名琦琦,0,0,1
4885330613771330,MzNQ1fP5U,"The Military was in 2019 , by the epidemic and the closure of the city , which affected 3 . How much bitterness does a simple sheet of paper contain",2023-03-31 12:30:46,Oceanlike若海,0,0,4
4885328755951587,MzNN1oYhl,"2023 - 03 - 31 Cloudy , the cherry blossom season every year , think of the shocking pink and white cherry blossom in the Coca Cola Park area near my home in , which was closed down by COVID - 19 last year . Shanghai Coca Cola Museum",2023-03-31 12:23:23,李斌瑜的微博,0,0,0
