,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0.0,0.655,"covid, impact, such, spread, outbreak, public, state, current, director, say","['closure', 'epidemic', 'community', 'issue', 'exit', 'dialysis', 'bad', 'attitude', 'public', 'also', 'know', 'love', 'death', 'death', 'video']"
1,1,3.0,0.5122,"country, first, confirm, covid, total, science, growth, text, exam, acid","['epidemic', 'prevention', 'policy', 'epidemic', 'quickly', 'peak', 'cause', 'bit', 'trance', 'now', 'outbreak', 'epidemic', 'ago', 'dream', 'also', 'second', 'third', 'fear', 'occur', 'absolute', 'scientific', 'basis', 'country', 'adjustment', 'prevention', 'just', 'decisive', 'closure', 'beginning', 'all', 'base', 'science', 'less', 'back', 'normal', 'people', 'beginning', 'full', 'text']"
2,2,1.0,0.8477,"epidemic, city, full, day, year, go, closure, close, time, text","['last', 'year', 'summer', 'vacation', 'closure', 'city', 'epidemic', 'then', 'total', 'haven', 'work', 'seriously', 'more', 'half', 'year', 'finally', 'start', 'work', 'tomorrow', 'sleep', 'excite', 'too']"
3,3,1.0,0.9128,"epidemic, city, full, day, year, go, closure, close, time, text","['maybe', 'share', 'plight', 'pandemic', 'closure', 'city', 'closed', 'loop', 'few', 'life', 'alone', 'receive', 'news', 'breakup', 'person', 're', 'deal', 'understand', 'approach', 'later', 'see', 'clearly', 'tell', 'over', 'again', 'alcohol', 'friend', 'family', 'member', 'family', 'incident', 'of', 'sudden', 'just', 'now', 'huge', 'transformation', 'sometimes', 'unclear', 'skeptical', 'still', 'understand', 'full', 'text']"
4,4,1.0,0.9676,"epidemic, city, full, day, year, go, closure, close, time, text","['self', 'lonely', 'person', 'profile', 'break', 'closure', 'city', 'pandemic', 'accidentally', 'meet', 'lose', 'friend', 'pain', 'different', 'video', 'many', 'receive', 'strength', 'support', 'each_oth', 'video', 'song', 'dance']"
5,5,1.0,0.8075,"epidemic, city, full, day, year, go, closure, close, time, text","['sequelae', 'closure', 'epidemic', 'know', 'clothe', 'wear', 'other', 'go']"
6,6,1.0,0.7984,"epidemic, city, full, day, year, go, closure, close, time, text","['short', 'note', 'drink', 'tea', 'today', 'chaos', 'go', 'friend', 'tea', 'room', 'drink', 'tea', 'afternoon', 'way', 'bring', 'camera', 'take', 'meet', 'closure', 'city', 'epidemic', 'last', 'year', 'very', 'anxious', 'very', 'painful', 'long', 'time', 'see', 'now', 're', 'learn', 'reinvent', 'relieve', 'become', 'more', 'relaxed', 'people', 'always', 'work', 'hard', 'good', 'job', 'also', 'need', 'take', 'care', 'heart', 'time', 'feel', 'full', 'story']"
7,7,1.0,0.871,"epidemic, city, full, day, year, go, closure, close, time, text","['buy', 'boredom', 'closure', 'pandemic']"
8,8,1.0,0.7264,"epidemic, city, full, day, year, go, closure, close, time, text","['family', 'structure', 'similar', 'attitude', 'completely', 'different', 'people', 'family', 'close', 'city', 'pandemic', 'even', 'say', 'word', 'greeting']"
9,9,0.0,0.6012,"covid, impact, such, spread, outbreak, public, state, current, director, say","['let', 'just', 'say', 'here', 'again', 'haven', 'see', 'credit', 'covid', 'apart', 'dare', 'say', 'spread', 'person', 'person', 'cause', 'panic', 'more', 'people', 'run', 'closure', 'city', 'lead', 'spread', 'epidemic', 'treatment', 'involve', 'covid', 'western', 'medicine', 'western', 'medicine', 'specific', 'medicine', 'just', 'fool', 'public', 'actually', 'work', 'treatment', 'harmful', 'academician', 'late', 'speech', 'medicine', 'seminar', 'link', 'web']"
