,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0.0,0.5944,"city, year, closure, go, day, last, close, time, full, back","['speak', 'pioneer', 'coexistence', 'now', 'fall', 'grow', 'myth', 'strange', 'closure', 'city', 'event', 'incident', 'example', 'yesterday', 'student', 'subject', 'discipline', 'city', 'today', 'dog', 'honest', 'go', 'city', 'maybe', 'prepare', 'advance']"
1,1,3.0,0.657,"people, text, full, country, prevention, most, many, epidemic, say, virus","['less_than', 'announcement', 'closure', 'middle', 'night', 'wife', 'see', 'doctor', 'central', 'hospital', 'doctor', 'inadvertently', 'recently', 'wong', 'take', 'seriously', 'fate', 'family', 'term', 'time', 'prevention', 'control', 'infectious', 'full', 'text']"
2,2,1.0,0.7481,"full, text, eat, say, take, first, very, closure, people, see","['also', 'meet', 'confused', 'people', 'turn', 'say', 'government', 'close', 'city', 'comrade', 'very', 'clearly', 'government', 'never', 'order', 'closure', 'city', 'careful', 'people', 'ulterior', 'video']"
3,3,0.0,0.5071,"city, year, closure, go, day, last, close, time, full, back","['last', 'year', 'today', 'big', 'screening', 'whole', 'day', 'city', 'closure', 'first', 'day', 'people', 'still', 'think', 'explanation', 'come', 'medical', 'personnel', 'abroad', 'come', 'help', 'people', 'dress', 'green', 'green', 'even', 'just', 'next', 'building', 'day', 'good', 'end', 'at', 'least', 'less_than', 'week', 'worry', 'food', 'entrance', 'neighborhood', 'supermarket', 'market', 'group', 'second', 'class', 'people', 'fixed', 'today', 'photo', 'full', 'text']"
4,4,1.0,0.4919,"full, text, eat, say, take, first, very, closure, people, see","['remember', 'day', 'moment', 'in', 'happy', 'sad', 'uncomfortable', 'smile', 'shop', 'closure', 'city', 'get', 'express', 'delivery', 'experience', 'together', 'pity', 'last', 'lifetime', 'still', 'want', 'happy', 'no', 'matter', 'matter']"
5,5,0.0,0.9017,"city, year, closure, go, day, last, close, time, full, back","['fall', 'beautiful', 'full', 'tenderness', 'live', 'well', 'enough', 'article', 'circle', 'photo', 'photo', 'take', 'foreground', 'closure']"
6,6,1.0,0.6281,"full, text, eat, say, take, first, very, closure, people, see","['first_anniversary', 'closure', 'still', 'think', 'helplessness', 'come', 'school', 'find', 'house', 'feeling', 'powerless', 'grab_food', 'sense', 'finish', 'also', 'grateful', 'people', 'time', 'no', 'long', 'so', 'afraid', 'lot', 'recently', 'slowly', 'loss', 'sadness', 'gradual', 'peace', 'maybe', 'many', 'people', 'only', 'walk', 'path', 'turn', 'immutable', 'learn', 'accept', 'change', 'full', 'text']"
7,7,0.0,0.9368,"city, year, closure, go, day, last, close, time, full, back","['maybe', 'share', 'plight', 'pandemic', 'closure', 'city', 'closed', 'loop', 'few', 'life', 'alone', 'receive', 'news', 'breakup', 'person', 're', 'deal', 'understand', 'approach', 'later', 'see', 'clearly', 'tell', 'over', 'again', 'alcohol', 'friend', 'family', 'member', 'family', 'incident', 'of', 'sudden', 'just', 'now', 'huge', 'transformation', 'sometimes', 'unclear', 'skeptical', 'still', 'understand', 'full', 'text']"
8,8,3.0,0.3793,"people, text, full, country, prevention, most, many, epidemic, say, virus","['short', 'drama', 'lonely', 'person', 'profile', 'break', 'closure', 'city', 'pandemic', 'accidentally', 'meet', 'lose', 'friend', 'pain', 'different', 'video', 'many', 'receive', 'strength', 'support', 'each_oth', 'video', 'song', 'dance']"
9,9,0.0,0.8762,"city, year, closure, go, day, last, close, time, full, back","['record', 'exactly', 'year', 'closure', 'city', 'be', 'really', 'fast', 'time']"
10,10,0.0,0.7491,"city, year, closure, go, day, last, close, time, full, back","['first_anniversary', 'closure', 'city', 'go', 'school', 'last', 'year']"
11,11,0.0,0.8408,"city, year, closure, go, day, last, close, time, full, back","['last', 'year', 'today', 'first', 'day', 'closure', 'city']"
12,12,1.0,0.6265,"full, text, eat, say, take, first, very, closure, people, see","['take', 'onion', 'buy', 'capital', 'city', 'eat']"
13,13,1.0,0.7444,"full, text, eat, say, take, first, very, closure, people, see","['bar', 'form', 'tonight', 'warmly', 'celebrate', 'first_anniversary', 'absolute', 'closure']"
14,14,0.0,0.9206,"city, year, closure, go, day, last, close, time, full, back","['world', 'bald', 'only', 'truly', 'happy', 'spring', 'south', 'really', 'beautiful', 'time', 'last', 'year', 'city', 'close', 'year', 'so', 'fast']"
15,15,0.0,0.5348,"city, year, closure, go, day, last, close, time, full, back","['watch', 'new', 'video', 'age', 'term', 'boring', 'particularly', 'derogatory', 'person', 'reach', 'age', 'start', 'feel', 'person', 'mentality', 'particularly', 'officially', 'close', 'day', 'last', 'year', 'video', 'post', 'today', 'go', 'back', 'experience', 'boredom', 'remember', 'last', 'year', 'also', 'block', 'live', 'watch', 'previous', 'travel', 'full', 'story']"
16,16,1.0,0.6725,"full, text, eat, say, take, first, very, closure, people, see","['hustle', 'bustle', 'down', 'think', 'now', 'last', 'year', 'closure', 'city', 'just', 'try', 'way', 'just', 'buy', 'food', 'green', 'onion', 'also', 'very', 'precious', 'community', 'first', 'just', 'information', 'fly', 'all', 'air', 'later', 'community', 'group', 'full', 'swing', 'volunteer', 'meet', 'quite', 'few', 'test', 'acid', 'deliver', 'express', 'delivery', 'food', 'feel', 'very', 'now', 'year', 'no', 'long', 'mandatory', 'little', 'full', 'text']"
