,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.9678,"epidemic, pandemic, go, full, people, time, day, many, also, first","['promote', 'west', 'visit', 'make', 'frown', 'world', 'second', 'economy', 'trading', 'country', 'good', 'carry', 'diplomacy', 'past', 'due', 'pandemic', 'now', 'normal_diplomatic', 'carry', 'normal_diplomatic', 'self', 'medium', 'west', 'visit', 'really', 'need', 'need', 'know', 'diplomatic', 'major', 'trading', 'still', 'lukewarm', 'external', 'environment', 'deteriorate', 'full', 'text']"
1,1,2.0,0.8461,"epidemic, pandemic, go, full, people, time, day, many, also, first","['first', 'concert', 'people', 'watch', 'pandemic']"
2,2,2.0,0.7706,"epidemic, pandemic, go, full, people, time, day, many, also, first","['concert', 'sport', 'center', 'today', 'opening', 'clock', 'first', 'large_scale', 'concert', 'pandemic', 'also', 'first', 'large_scale', 'concert', 'opening', 'line', 'relevant', 'passenger', 'flow', 'footage', 'today', 'operation', 'entire', 'network', 'extend', 'hour', 'train', 'interval', 'line', 'apart']"
3,3,2.0,0.677,"epidemic, pandemic, go, full, people, time, day, many, also, first","['particularly', 'happy', 'spring', 'weekend', 'trip', 'pandemic', 'year']"
4,4,2.0,0.5769,"epidemic, pandemic, go, full, people, time, day, many, also, first","['say', 'only', 'medicine', 'give', 'epidemic', 'turn', 'so', 'effective', 'relieve', 'pain']"
5,5,2.0,0.8637,"epidemic, pandemic, go, full, people, time, day, many, also, first","['really', 'beautiful', 'scenery', 'home', 'unfortunately', 'haven', 'able', 'stay', 'here', 'over', 'pandemic', 'take', 'place', 'spend', 'more', 'rent', 'waste', 'life']"
6,6,2.0,0.5896,"epidemic, pandemic, go, full, people, time, day, many, also, first","['weather', 'nice', 'today', 'epidemic', 'finally', 'able', 'go', 'park', 'enjoy', 'spring', 'haven', 'play', 'long', 'time']"
7,7,1.0,0.5084,"year, last, full, time, new, again, festival, pandemic, go, spring","['first', 'concert', 'pandemic', 'see', 'news', 'outdoor', 'concert', 'go', 'recently', 'none', 'busy', 'people', 'busy', 'work', 'really', 'afraid', 'be', 'able', 'walk', 'away', 'yesterday', 'inadvertently', 'see', 'feeling', 'half', 'day', 'shift', 'scolding', 'morning', 'frantically', 'report', 'sort', 'information', 'originally', 'go', 'see', 'almost', 'afternoon', 'full', 'story']"
8,8,2.0,0.852,"epidemic, pandemic, go, full, people, time, day, many, also, first","['end', 'epidemic', 'go', 'shop', 'first', 'time', 'today', 'many', 'hold', 'heart', 'han', 'win', 'mention', 'go', 'college']"
9,9,1.0,0.5156,"year, last, full, time, new, again, festival, pandemic, go, spring","['drag', 'today', 'long', 'time', 'just', 'special', 'day', 'share', 'important', 'event', 'life', 'year', 'year', 'marriage', 'period', 'only', 'over', 'over', 'again', 'suddenly', 'let', 'go', 'wedding', 'ceremony', 'suddenly', 'let', 'go', 'agenda', 'know', 'month', 'advance', 'also', 'know', 'enjoy', 'drink', 'so', 'abrupt', 'full', 'text']"
10,10,2.0,0.5244,"epidemic, pandemic, go, full, people, time, day, many, also, first","['many', 'school', 'internal', 'consumption']"
11,11,2.0,0.6211,"epidemic, pandemic, go, full, people, time, day, many, also, first","['week', 'continuous', 'rain', 'finally', 'able', 'run', 'on', 'again', 'run', 'go', 'km', 'first', 'time', 'pandemic', 'still', 'very', 'strong', 'last', 'km', 'now', 'jail', 'all']"
12,12,1.0,0.5156,"year, last, full, time, new, again, festival, pandemic, go, spring","['drag', 'today', 'long', 'time', 'just', 'special', 'day', 'share', 'important', 'event', 'life', 'year', 'year', 'marriage', 'period', 'only', 'over', 'over', 'again', 'suddenly', 'let', 'go', 'wedding', 'ceremony', 'suddenly', 'let', 'go', 'agenda', 'know', 'month', 'advance', 'also', 'know', 'enjoy', 'drink', 'so', 'abrupt', 'full', 'text']"
13,13,2.0,0.5244,"epidemic, pandemic, go, full, people, time, day, many, also, first","['many', 'school', 'internal', 'consumption']"
14,14,2.0,0.6212,"epidemic, pandemic, go, full, people, time, day, many, also, first","['week', 'continuous', 'rain', 'finally', 'able', 'run', 'on', 'again', 'run', 'go', 'km', 'first', 'time', 'pandemic', 'still', 'very', 'strong', 'last', 'km', 'now', 'jail', 'all']"
15,15,2.0,0.6871,"epidemic, pandemic, go, full, people, time, day, many, also, first","['listen', 'program', 'today', 'foreign', 'minister', 'always', 'pretend', 'blame', 'resign', 'also', 'program', 'host', 'over', 'there', 'talk', 'interview', 'foreign', 'minister', 'say', 'lot', 'controversy', 'most', 'then', 'say', 'very', 'much', 'know', 'say', 'crazy', 'world', 'pandemic', 'hit', 'often', 'see', 'moon', 'shine', 'calmly', 'space', 'full', 'text']"
16,16,1.0,0.844,"year, last, full, time, new, again, festival, pandemic, go, spring","['once', 'year', 'get', 'together', 'little', 'sister', 'hum', 'haven', 'together', 'year', 'pandemic', 'end', 'picture', 'year', 'grow', 'tall', 'day']"
17,17,2.0,0.6944,"epidemic, pandemic, go, full, people, time, day, many, also, first","['today', 'first', 'concert', 'epidemic', 'end', 'red', 'go', 'day', 'row']"
18,18,2.0,0.5618,"epidemic, pandemic, go, full, people, time, day, many, also, first","['lot', 'weight', 'recently', 'recently', 'outbreak', 'last', 'year', 'dry_food', 'man']"
19,19,2.0,0.732,"epidemic, pandemic, go, full, people, time, day, many, also, first","['amazing', 'covid', 'pandemic', 'wake', 'nightmare', 'never']"
